"db","cut","stratum","variable_code","variable","raw_smd","smd","matched","treated_eligible","match_rate","max_smd","n_viol","mice_m","mice_logged_events"
"EICU",3.5,"low","age","age",0.0517467163800396,0.0113589518781525,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","is_female","sex",0.129598800810527,0.0180152233920568,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","bmi","BMI",0.0311356489630305,0.0432276936135034,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","surg_cabg","CABG surgery",0.244498667051005,0.0425204243711551,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","surg_valve","valve surgery",0.208362366977721,0.139905291894559,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","surg_combined","combined surgery",0.137402760658881,0.0638604215896367,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","heart_failure","heart failure",0.016230497683155,0.0961106398350524,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","hypertension","hypertension",0.0229463661879301,0.0645483108343572,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","diabetes","diabetes",0.0593111190750982,0.0189994261144876,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","copd","COPD",0.157660886191598,0.023331078484816,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","pvd","peripheral vascular disease",0.0531581050245588,0.0206186805867648,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","stroke","stroke",0.0523815881918403,0.0640262477551283,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","liver_disease","liver disease",0.02940503664682,0.00901265806868319,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","egfr","baseline (at ICU T0): eGFR",0.0537077736832549,0.192800363019593,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","last_lactate","baseline (at ICU T0): lactate",0.347845055039509,0.183753300304635,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","last_lactate_missing","baseline (at ICU T0): lactate missing",0.479467778725091,0.00609544727561138,683,702,0.972934472934473,0.192800363019593,3,20,200
"EICU",3.5,"low","last_heartrate","baseline (at ICU T0): heart rate",0.223175110909342,0.06406892325343,683,702,0.972934472934473,0.192800363019593,3,20,200
