"db","analysis","cut","stratum","outcome","method","events_trt","events_ctl","sparse_lt20","match_rate","max_smd","n_viol","adjustment_vars","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","albumin_stratified",3.5,"low","aki1_48h","psm",156,141,FALSE,0.972934472934473,0.192800363019593,3,"",647,0.241112828438949,0.217928902627512,1.14018286605891,0.879492959149443,1.4781436901002,0.321934350387556,0.0231839258114373,-0.0226599444144791,0.0690277960373538,0.32177298670254
"EICU","albumin_stratified",3.5,"low","aki1_48h","dr",156,141,FALSE,0.972934472934473,0.192800363019593,3,"surg_valve;egfr;last_lactate",647,0.241112828438949,0.217928902627512,1.27789059869752,0.972631631949603,1.67895463050714,0.0782821661279448,0.03787680493987,-0.0073839321360635,0.0831375420158034,0.101198955934777
"EICU","albumin_stratified",3.5,"low","aki2_48h","psm",18,17,TRUE,0.972934472934473,0.192800363019593,3,"",647,0.0278207109737249,0.0262751159196291,1.06050687358874,0.541296659805454,2.07774204506118,0.864059351475829,0.00154559505409585,-0.0161458168083255,0.0192370069165172,0.864066805643112
"EICU","albumin_stratified",3.5,"low","aki2_48h","dr",18,17,TRUE,0.972934472934473,0.192800363019593,3,"surg_valve;egfr;last_lactate",647,0.0278207109737249,0.0262751159196291,1.03575982054768,0.528590055368227,2.02954708467534,0.91845925121828,0.000736844807321599,-0.0169269516951474,0.0184006413097906,0.934849185831661
"EICU","albumin_stratified",3.5,"low","aki1_7d","psm",142,139,FALSE,0.972934472934473,0.192800363019593,3,"",568,0.25,0.244718309859155,1.02877697841742,0.785504823065322,1.34739092650187,0.836710151122347,0.00528169014084513,-0.0449443906798227,0.055507770961513,0.8367417483901
"EICU","albumin_stratified",3.5,"low","aki1_7d","dr",142,139,FALSE,0.972934472934473,0.192800363019593,3,"surg_valve;egfr;last_lactate",568,0.25,0.244718309859155,1.10743318815314,0.837112618802533,1.46504572822875,0.474782889075833,0.0166833830097227,-0.0336077342466905,0.0669745002661359,0.515693209618184
"EICU","albumin_stratified",3.5,"low","aki2_7d","psm",37,31,FALSE,0.972934472934473,0.192800363019593,3,"",568,0.0651408450704225,0.0545774647887324,1.20703480799544,0.737608389529039,1.97521211579879,0.453958004792259,0.0105633802816902,-0.0170445356385864,0.0381712962019667,0.453447599742415
"EICU","albumin_stratified",3.5,"low","aki2_7d","dr",37,31,FALSE,0.972934472934473,0.192800363019593,3,"surg_valve;egfr;last_lactate",568,0.0651408450704225,0.0545774647887324,1.19444929064048,0.732278639738407,1.94831452194374,0.476596264334351,0.00981395213163978,-0.0176312376018365,0.0372591418651161,0.483532038957027
"EICU","albumin_stratified",3.5,"normal","aki1_48h","psm",118,127,FALSE,0.967071057192374,0.223504667297459,7,"",552,0.213768115942029,0.230072463768116,0.909866105445438,0.684692884912908,1.20909147455761,0.514954707385736,-0.016304347826087,-0.0653637473988125,0.0327550517466385,0.514934264466211
"EICU","albumin_stratified",3.5,"normal","aki1_48h","dr",118,127,FALSE,0.967071057192374,0.223504667297459,7,"surg_cabg;heart_failure;pvd;egfr;last_lactate;last_lactate_missing;last_hemoglobin",552,0.213768115942029,0.230072463768116,0.945805685199453,0.704036329576745,1.2705997639261,0.711430717156157,-0.010849033388778,-0.0602575795074863,0.0385595127299302,0.667009004618954
