"db","cut","outcome","scale","term","estimate","ci_lo","ci_hi","p","n","events_trt","events_ctl","min_cell_events","sparse_lt20","adjustment_vars"
"MIMIC",3.5,"aki1_48h","or","omnibus",NA,NA,NA,0.691752221162518,4693,1636,1103,128,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki1_48h","or","treated:modifiernormal",0.992362175490889,0.811204920676196,1.21397523886335,0.940569813050179,4693,1636,1103,128,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki1_48h","or","treated:modifierlow",0.858703069245708,0.604362780329966,1.22008003326978,0.395309847486465,4693,1636,1103,128,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki1_48h","rd","omnibus",NA,NA,NA,0.84896613627102,4693,1636,1103,128,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki1_48h","rd","treated:modifiernormal",-0.00638612601470668,-0.0432469025684977,0.0304746505390844,0.734188130133124,4693,1636,1103,128,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki1_48h","rd","treated:modifierlow",-0.019316833725412,-0.0920967566458019,0.053463089194978,0.602928074317864,4693,1636,1103,128,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki2_48h","or","omnibus",NA,NA,NA,0.132556854990452,4693,225,105,18,TRUE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki2_48h","or","treated:modifiernormal",0.966476632658779,0.560778999604648,1.66567771284941,0.902282005382519,4693,225,105,18,TRUE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki2_48h","or","treated:modifierlow",0.480880760409709,0.232113990619324,0.996261815650193,0.0488294557511005,4693,225,105,18,TRUE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki2_48h","rd","omnibus",NA,NA,NA,0.339675951999211,4693,225,105,18,TRUE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki2_48h","rd","treated:modifiernormal",-0.00908647228605287,-0.0241792095056935,0.00600626493358775,0.238028721032669,4693,225,105,18,TRUE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki2_48h","rd","treated:modifierlow",-0.0193818890132566,-0.0535964680986568,0.0148326900721436,0.266897586874564,4693,225,105,18,TRUE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki1_7d","or","omnibus",NA,NA,NA,0.041644485704362,4326,1675,1150,107,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki1_7d","or","treated:modifiernormal",0.958418041919752,0.784937853721703,1.17023932368914,0.676761741456162,4326,1675,1150,107,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki1_7d","or","treated:modifierlow",0.585352414770234,0.385978810991179,0.887710516018906,0.0117152366031585,4326,1675,1150,107,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki1_7d","rd","omnibus",NA,NA,NA,0.0808388066737525,4326,1675,1150,107,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
"MIMIC",3.5,"aki1_7d","rd","treated:modifiernormal",-0.0118524545575919,-0.0513137561248942,0.0276088470097104,0.556078919410612,4326,1675,1150,107,FALSE,"age;is_female;bmi;surg_combined;heart_failure;hypertension;pvd;stroke;liver_disease;egfr;last_lactate;last_heartrate;last_hemoglobin;map_before_t0;vent_at_t0;surg_aortic"
