"db","database_role","analysis_set","variant","stratum","outcome","method","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","external_validation","primary","egfr","G1","aki1_48h","psm",498,0.156626506024096,0.0742971887550201,2.3138996138954,1.53040452070441,3.49850732322778,6.96407478185637e-05,0.082329317269075,0.0429255886328703,0.12173304590528,4.56123934619193e-05
"IUH","external_validation","primary","egfr","G1","aki1_48h","dr",498,0.156626506024096,0.0742971887550201,2.27937708589884,1.49043060435188,3.48594552778926,0.000144055257235267,0.0806282614801346,0.0394635009801889,0.12179302198008,0.000131411573610532
"IUH","external_validation","primary","egfr","G1","aki2_48h","psm",498,0.0321285140562249,0.0220883534136546,1.46963409775033,0.674548670042867,3.2018807199385,0.332518317248779,0.0100401606425701,-0.0101420954768644,0.0302224167620046,0.329772536363505
"IUH","external_validation","primary","egfr","G1","aki2_48h","dr",498,0.0321285140562249,0.0220883534136546,1.42000316119835,0.635401825095118,3.1734390714277,0.392731691037686,0.00975186657483029,-0.0112044546789739,0.0307081878286344,0.361954141119874
"IUH","external_validation","primary","egfr","G1","aki3_48h","psm",498,0.00602409638554217,0.00401606425702811,1.50303030296563,0.24960511831481,9.05069618317569,0.656427342795477,0.00200803212851402,-0.00677837934129761,0.0107944435983257,0.654297573050484
"IUH","external_validation","primary","egfr","G1","aki3_48h","dr",498,0.00602409638554217,0.00401606425702811,2.18492102933682,0.323099702316291,14.7752531810289,0.422863464099004,0.00303430834708559,-0.00640412515531268,0.0124727418494839,0.528769094500205
"IUH","external_validation","primary","egfr","G1","aki1_7d","psm",395,0.187341772151899,0.146835443037975,1.33945644000431,0.919065395393752,1.9521391662237,0.128303488597886,0.0405063291139241,-0.0115118101457098,0.0925244683735579,0.127350207902052
"IUH","external_validation","primary","egfr","G1","aki1_7d","dr",395,0.187341772151899,0.146835443037975,1.37236665574521,0.934566944378037,2.01525449742363,0.106358689459524,0.0423360361109516,-0.0101439101541358,0.094815982376039,0.114249292494369
"IUH","external_validation","primary","egfr","G1","aki2_7d","psm",395,0.0582278481012658,0.0430379746835443,1.37476273130406,0.722117010940892,2.6172663692274,0.332590796440813,0.0151898734177215,-0.0154083182818943,0.0457880651173373,0.330850071869718
"IUH","external_validation","primary","egfr","G1","aki2_7d","dr",395,0.0582278481012658,0.0430379746835443,1.37980122427348,0.716811715561655,2.65599930522177,0.335279068748423,0.0154459059635744,-0.0157743480890645,0.0466661600162133,0.332501501280817
