"db","database_role","analysis_set","variant","stratum","outcome","method","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","external_validation","primary","egfr_reported","G1","aki1_48h","psm",443,0.139954853273138,0.0767494356659142,1.9575420719454,1.25892033283577,3.04385501090814,0.00286050012091886,0.0632054176072231,0.0224374632186392,0.103973371995807,0.00244571201165083
"IUH","external_validation","primary","egfr_reported","G1","aki1_48h","dr",443,0.139954853273138,0.0767494356659142,2.00592779873339,1.25642334540498,3.20254024922979,0.00354175142707664,0.0638101483843484,0.021945457263489,0.105674839505208,0.0028919522915974
"IUH","external_validation","primary","egfr_reported","G1","aki2_48h","psm",443,0.0293453724604966,0.0135440180586907,2.20193798449517,0.828416755017572,5.85276777442752,0.11351518484283,0.0158013544018055,-0.00326930372664785,0.0348720125302589,0.104733352789064
"IUH","external_validation","primary","egfr_reported","G1","aki2_48h","dr",443,0.0293453724604966,0.0135440180586907,2.66076862967843,0.951048951724073,7.4440854888139,0.0622680299904535,0.0188839957595015,-0.000496960949317646,0.0382649524683207,0.0564935270752513
"IUH","external_validation","primary","egfr_reported","G1","aki3_48h","psm",443,0.00451467268623025,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","aki3_48h","dr",443,0.00451467268623025,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","aki1_7d","psm",347,0.164265129682997,0.138328530259366,1.22435344827535,0.806741643192687,1.85814303619096,0.341597494122354,0.0259365994236314,-0.0274265258340568,0.0792997246813196,0.341106198376265
"IUH","external_validation","primary","egfr_reported","G1","aki1_7d","dr",347,0.164265129682997,0.138328530259366,1.39008966151598,0.89216742443175,2.16590430690112,0.145473760938937,0.0375000333568377,-0.0158382397139203,0.0908383064275956,0.168655661655067
"IUH","external_validation","primary","egfr_reported","G1","aki2_7d","psm",347,0.0461095100864553,0.0432276657060519,1.06988919008288,0.519874180792356,2.2018075167949,0.854436491485875,0.00288184438040343,-0.0279004222022894,0.0336641109630963,0.854462807366135
"IUH","external_validation","primary","egfr_reported","G1","aki2_7d","dr",347,0.0461095100864553,0.0432276657060519,1.12381140138122,0.517518662725644,2.44039907512276,0.767964976362777,0.00734311028437248,-0.0239034504306984,0.0385896709994434,0.645224859723477
"IUH","external_validation","primary","egfr_reported","G1","aki3_7d","psm",347,0.00864553314121038,0.00288184438040346,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","aki3_7d","dr",347,0.00864553314121038,0.00288184438040346,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","aki2_rrt_48h","psm",443,0.0316027088036117,0.0225733634311512,1.41305361128446,0.620267662387871,3.2191272082075,0.410471408881887,0.00902934537246045,-0.0123659093211901,0.030424600066111,0.408363826915535
"IUH","external_validation","primary","egfr_reported","G1","aki2_rrt_48h","dr",443,0.0316027088036117,0.0225733634311512,1.43428097753249,0.610207067190392,3.37125220785045,0.408151145661188,0.00973577153407482,-0.0127488376756577,0.0322203807438074,0.396294871479739
"IUH","external_validation","primary","egfr_reported","G1","aki2_rrt_7d","psm",347,0.0461095100864553,0.0547550432276657,0.834472905513706,0.42134854844669,1.65265795409424,0.603741951857909,-0.00864553314121049,-0.0412491312457971,0.0239580649633761,0.603414197809959
"IUH","external_validation","primary","egfr_reported","G1","aki2_rrt_7d","dr",347,0.0461095100864553,0.0547550432276657,0.886265166338983,0.433370872414256,1.81245670870802,0.740809379578886,-0.00425934238474397,-0.03718330626179,0.028664621492302,0.799909320746368
"IUH","external_validation","primary","egfr_reported","G1","death_48h_all","psm",474,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_48h_all","dr",474,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_48h_never","psm",333,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_48h_never","dr",333,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_48h_censored","psm",443,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_48h_censored","dr",443,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_7d_all","psm",474,0.00210970464135021,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_7d_all","dr",474,0.00210970464135021,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_7d_never","psm",333,0.003003003003003,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_7d_never","dr",333,0.003003003003003,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_7d_censored","psm",347,0.00288184438040346,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","death_7d_censored","dr",347,0.00288184438040346,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","hosp_mort_descriptive","psm",474,0.00632911392405063,0.00210970464135021,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G1","hosp_mort_descriptive","dr",474,0.00632911392405063,0.00210970464135021,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G2","aki1_48h","psm",548,0.215328467153285,0.187956204379562,1.185594942426,0.881884842587211,1.59389899862928,0.259518337787187,0.0273722627737226,-0.0201518708276807,0.074896396375126,0.259190693502288
"IUH","external_validation","primary","egfr_reported","G2","aki1_48h","dr",548,0.215328467153285,0.187956204379562,1.47016045645932,1.07255753100366,2.01515695453104,0.0166026091349795,0.0533593167956776,0.00622698710592121,0.100491646485434,0.0266960638140961
"IUH","external_validation","primary","egfr_reported","G2","aki2_48h","psm",548,0.0383211678832117,0.0273722627737226,1.41593927887241,0.721607583410734,2.77835777719724,0.31187951690253,0.0109489051094887,-0.010164879280656,0.0320626894996334,0.309668097177791
"IUH","external_validation","primary","egfr_reported","G2","aki2_48h","dr",548,0.0383211678832117,0.0273722627737226,1.77614014021226,0.867756216748152,3.63543785315089,0.11598156624479,0.017604950127745,-0.00394347213649503,0.039153372391985,0.109598847825178
"IUH","external_validation","primary","egfr_reported","G2","aki3_48h","psm",548,0.00547445255474453,0.00182481751824818,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G2","aki3_48h","dr",548,0.00547445255474453,0.00182481751824818,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr_reported","G2","aki1_7d","psm",484,0.241735537190083,0.204545454545455,1.23978201635168,0.914999433964768,1.67984743051569,0.165493635866917,0.0371900826446283,-0.0152694443436145,0.089649609632871,0.165000642598355
"IUH","external_validation","primary","egfr_reported","G2","aki1_7d","dr",484,0.241735537190083,0.204545454545455,1.43952431658362,1.04396846341239,1.98495484361864,0.0262494314214551,0.0559672991710105,0.00464841825179409,0.107286180090227,0.0328068372651353
"IUH","external_validation","primary","egfr_reported","G2","aki2_7d","psm",484,0.0537190082644628,0.0599173553719008,0.890679115951689,0.516148240422675,1.53697954475799,0.677482777130856,-0.00619834710743791,-0.0353927742163965,0.0229960800015207,0.677405221862949
"IUH","external_validation","primary","egfr_reported","G2","aki2_7d","dr",484,0.0537190082644628,0.0599173553719008,1.00165876946134,0.56735406208027,1.76842003520695,0.995440223716108,0.00175304524662918,-0.026420573775296,0.0299266642685544,0.902958661693449
