"db","database_role","analysis_set","variant","stratum","outcome","method","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"MIMIC","primary","primary","pooled","Overall","aki1_48h","psm",4690,0.353518123667377,0.251599147121535,1.62659876570336,1.48796313926891,1.77815126918243,9.7737148048342e-27,0.101918976545842,0.0834390309521083,0.120398922139576,4.47447239461821e-27
"MIMIC","primary","primary","pooled","Overall","aki1_48h","dr",4690,0.353518123667377,0.251599147121535,1.88246077439464,1.71303990488616,2.06863748884469,1.78091917589923e-39,0.122746730827495,0.104807625879478,0.140685835775512,1.23160344249963e-40
"MIMIC","primary","primary","pooled","Overall","aki2_48h","psm",4690,0.0501066098081023,0.0285714285714286,1.79349046012056,1.44482660636853,2.22629346411897,1.18063528668337e-07,0.0215351812366737,0.0136781120216185,0.029392250451729,7.96895920105379e-08
"MIMIC","primary","primary","pooled","Overall","aki2_48h","dr",4690,0.0501066098081023,0.0285714285714286,1.96949147894281,1.58615316983561,2.44547421988908,8.40892007552779e-10,0.0239519820080519,0.0161545182788894,0.0317494457372145,1.80229370967189e-09
"MIMIC","primary","primary","pooled","Overall","aki3_48h","psm",4690,0.00959488272921109,0.00810234541577825,1.18599512390371,0.7685973858131,1.83006663812075,0.440837750048643,0.00149253731343283,-0.00229820957161074,0.0052832841984764,0.440303173605653
"MIMIC","primary","primary","pooled","Overall","aki3_48h","dr",4690,0.00959488272921109,0.00810234541577825,1.77470765684085,1.15597863319601,2.72460681954101,0.00872331444395222,0.0034741095589894,-0.000287999317151264,0.00723621843513007,0.0703344930841139
"MIMIC","primary","primary","pooled","Overall","aki1_7d","psm",4202,0.398381722989053,0.288910042836744,1.6298224302935,1.48817501680331,1.78495212209231,6.27596375345376e-26,0.109471680152308,0.0892965787421723,0.129646781562444,3.00330332099672e-26
"MIMIC","primary","primary","pooled","Overall","aki1_7d","dr",4202,0.398381722989053,0.288910042836744,1.76211860592454,1.60321899344524,1.93676721273918,7.09865158458823e-32,0.118912184984702,0.099323048230009,0.138501321739396,2.20994834753728e-32
"MIMIC","primary","primary","pooled","Overall","aki2_7d","psm",4202,0.0825797239409805,0.0480723465016659,1.78243503319515,1.49025338711577,2.13190231609558,2.49143842557255e-10,0.0345073774393147,0.0239657742312147,0.0450489806474147,1.47511097207606e-10
"MIMIC","primary","primary","pooled","Overall","aki2_7d","dr",4202,0.0825797239409805,0.0480723465016659,1.92044000629004,1.60213770001993,2.30198054618739,1.69001399605344e-12,0.0371014011095361,0.0266879352587906,0.0475148669602816,3.10625088585487e-12
"MIMIC","primary","primary","pooled","Overall","aki3_7d","psm",4202,0.0233222275107092,0.0204664445502142,1.14286685155653,0.852734132972157,1.53171380138641,0.371444960457348,0.00285578296049504,-0.00340217771646127,0.00911374363745134,0.371115194356641
"MIMIC","primary","primary","pooled","Overall","aki3_7d","dr",4202,0.0233222275107092,0.0204664445502142,1.53165908212355,1.14129831044822,2.05553580722487,0.00450350074588249,0.00586430048620841,-0.000141924266766735,0.0118705252391836,0.0556942356608486
"MIMIC","primary","primary","pooled","Overall","aki2_rrt_48h","psm",4690,0.0547974413646055,0.0326226012793177,1.71914591838458,1.40134082297363,2.10902489975772,2.03999715187444e-07,0.0221748400852878,0.0139110990280947,0.0304385811424809,1.47677300440969e-07
"MIMIC","primary","primary","pooled","Overall","aki2_rrt_48h","dr",4690,0.0547974413646055,0.0326226012793177,1.99314476782526,1.62182045787744,2.44948572834528,5.48676236954156e-11,0.0267437868552647,0.018554319215033,0.0349332544954964,1.62141082006073e-10
"MIMIC","primary","primary","pooled","Overall","aki2_rrt_7d","psm",4202,0.0875773441218467,0.0506901475487863,1.79754652967097,1.50973140543083,2.14023071568156,4.48513637686042e-11,0.0368871965730604,0.026067064389158,0.0477073287569628,2.50903888286826e-11
