"db","database_role","analysis_set","variant","stratum","outcome","method","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki1_48h","psm",4702,0.35431731178222,0.236495108464483,1.77158865792321,1.619130690674,1.93840212588133,1.2977764274216e-35,0.117822203317737,0.099532613979213,0.136111792656261,2.97156655435842e-36
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki1_48h","dr",4702,0.35431731178222,0.236495108464483,2.07991371441634,1.8899742119695,2.28894184482502,8.71290274372158e-51,0.140520602734687,0.122703374703622,0.158337830765751,3.00095446491844e-53
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki2_48h","psm",4702,0.0487026797107614,0.0278604849000425,1.7863909495403,1.43554127699927,2.22298910921605,1.98413436350202e-07,0.0208421948107188,0.0130966250822469,0.0285877645391907,1.36395136846883e-07
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki2_48h","dr",4702,0.0487026797107614,0.0278604849000425,2.00321532493594,1.60774816243011,2.49595784453751,5.94424904812125e-10,0.0243534353449556,0.016646218132999,0.0320606525569122,6.1405226577244e-10
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki3_48h","psm",4702,0.0104210974053594,0.0038281582305402,2.7403586691708,1.59409206368641,4.71087323421795,0.000265384548464192,0.00659293917481925,0.00319535229549126,0.00999052605414724,0.000143664815767351
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki3_48h","dr",4702,0.0104210974053594,0.0038281582305402,3.70481630729975,2.11189381648759,6.49922063490013,4.94728404733275e-06,0.00794495390374467,0.00439440810196585,0.0114954997055235,1.16800040311553e-05
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki1_7d","psm",4218,0.394499762920816,0.279279279279279,1.68136004243438,1.53461829243978,1.84213338666812,6.99596737709025e-29,0.115220483641536,0.0951962620812394,0.135244705201833,2.73130329424726e-29
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki1_7d","dr",4218,0.394499762920816,0.279279279279279,1.87018960699963,1.70018277542725,2.05719597720926,6.22536341360636e-38,0.130421377928191,0.110975163880006,0.149867591976377,4.38370221017157e-39
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki2_7d","psm",4218,0.0822664770033191,0.052868658131816,1.60589898299188,1.34949794246426,1.91101554320646,9.43679293492264e-08,0.0293978188715032,0.0187023177389038,0.0400933200041025,7.34581293579819e-08
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki2_7d","dr",4218,0.0822664770033191,0.052868658131816,1.75961677322864,1.47392615506237,2.1006827092342,4.06047156916524e-10,0.0335898139452094,0.0229914794595272,0.0441881484308916,5.48198676228745e-10
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki3_7d","psm",4218,0.0267899478425794,0.0187292555713608,1.44222695678471,1.07840733655134,1.92878750392056,0.0135513083995979,0.00806069227121862,0.00169722731728736,0.0144241572251499,0.0130561850340752
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki3_7d","dr",4218,0.0267899478425794,0.0187292555713608,1.89697891987139,1.41575787534449,2.54176867747305,1.79579940677826e-05,0.0115296709208446,0.00531956876512256,0.0177397730765666,0.000275405485745478
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki2_rrt_48h","psm",4702,0.0535942152275627,0.0304125903870693,1.80540268718976,1.46439440776956,2.22582034294747,3.17838065216678e-08,0.0231816248404935,0.015085560353769,0.0312776893272179,2.05546434773193e-08
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki2_rrt_48h","dr",4702,0.0535942152275627,0.0304125903870693,2.12153621914934,1.71605917150479,2.62282093991882,3.64908344227709e-12,0.0284843052733525,0.0204129689178435,0.0365556416288615,4.91492738699474e-12
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki2_rrt_7d","psm",4218,0.0872451398767188,0.0550023707918445,1.64223913827135,1.38522975733016,1.94693289903636,1.11166779918773e-08,0.0322427690848744,0.0212931351840897,0.0431924029856591,8.13465871061166e-09
"MIMIC","primary","s2_no_aortic","pooled","Overall","aki2_rrt_7d","dr",4218,0.0872451398767188,0.0550023707918445,1.83716958680831,1.5429942017879,2.18743018397768,8.39724282710548e-12,0.0374228605981935,0.0265854122586743,0.0482603089377126,1.39216493691876e-11
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_48h_all","psm",5428,0.00571112748710391,0.00386882829771555,1.47892568169602,0.848773186074027,2.57692067547156,0.167202209802968,0.00184229918938835,-0.000755326845448594,0.00443992522422529,0.16453327712769
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_48h_all","dr",5428,0.00571112748710391,0.00386882829771555,2.91348723007266,1.55452424522578,5.4604538114255,0.000848399807841702,0.00432261959419781,0.00137684260539201,0.00726839658300362,0.0040341278180776
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_48h_never","psm",4122,0.00485201358563804,0.00363901018922853,1.3349585565063,0.682464214606539,2.61129347070137,0.398697274295861,0.00121300339640951,-0.00159431733910801,0.00402032413192703,0.397082058805146
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_48h_never","dr",4122,0.00485201358563804,0.00363901018922853,1.659303992505,0.77237776520467,3.56469316386063,0.194293526078816,0.00172166552742988,-0.00112750064755693,0.00457083170241669,0.236301152273617
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_48h_censored","psm",4702,0.00467886005954913,0.0031901318587835,1.46886039639812,0.760995373646383,2.83516948830942,0.25181552900351,0.00148872820076563,-0.00104193146018626,0.00401938786171751,0.248930503306387
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_48h_censored","dr",4702,0.00467886005954913,0.0031901318587835,2.50995204246764,1.16472385792508,5.40888658940195,0.0188105823459488,0.00291622231608909,6.21242444102969e-05,0.00577032038776787,0.0452421809672188
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_7d_all","psm",5428,0.012343404568902,0.0173176123802506,0.709176201647513,0.517191608624086,0.972426614424717,0.0328757922678746,-0.00497420781134858,-0.00952128894037783,-0.00042712668231933,0.032046127386943
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_7d_all","dr",5428,0.012343404568902,0.0173176123802506,1.33046046279809,0.944036215485751,1.87506052631475,0.102885865089484,0.00241539553069576,-0.00207713647325754,0.00690792753464906,0.292003566356549
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_7d_never","psm",4122,0.0111596312469675,0.00800582241630277,1.39838522035674,0.892288422887464,2.19153490547841,0.143515451160164,0.00315380883066471,-0.00105216453985621,0.00735978220118563,0.141684654805276
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_7d_never","dr",4122,0.0111596312469675,0.00800582241630277,1.76113569782946,1.07964012106641,2.87280815676399,0.0233945000269833,0.00432679679793793,0.000119844209482015,0.00853374938639384,0.0438496541013338
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_7d_censored","psm",4218,0.0113798008534851,0.00782361308677098,1.45977762404096,0.935138789320292,2.27875341712597,0.0959403659154564,0.00355618776671406,-0.000605564525971642,0.00771794005939977,0.0940093603327816
"MIMIC","primary","s2_no_aortic","pooled","Overall","death_7d_censored","dr",4218,0.0113798008534851,0.00782361308677098,2.08723123649284,1.27940058989953,3.40513695943626,0.00321204606301662,0.00541466259910883,0.00116803979244139,0.00966128540577626,0.0124697620417913
"MIMIC","primary","s2_no_aortic","pooled","Overall","hosp_mort_descriptive","psm",5428,0.0241341193809875,0.049373618275608,0.476163641124603,0.385023947069541,0.588877172068698,7.63602565204001e-12,-0.0252394988946205,-0.0323031997678033,-0.0181757980214376,2.64738787513028e-12
"MIMIC","primary","s2_no_aortic","pooled","Overall","hosp_mort_descriptive","dr",5428,0.0241341193809875,0.049373618275608,0.790138340333911,0.62753686711413,0.99487158377913,0.0450980972324136,-0.00841932853921519,-0.0149030401389249,-0.00193561693950547,0.0109374536364694
