"db","modifier","outcome","n","interaction_or","ci_lo","ci_hi","p_interaction"
"MIMIC","eGFR_per_30","aki1_48h",4690,0.422829655533716,0.370794809470755,0.482166721411081,8.8839512061079e-38
"MIMIC","eGFR_per_30","aki2_48h",4690,0.801776202790579,0.576458528686926,1.11516275216809,0.189365328476878
"MIMIC","eGFR_per_30","aki3_48h",4690,0.193659771720528,0.0993366888467169,0.37754537239225,1.43703689257027e-06
"MIMIC","eGFR_per_30","aki1_7d",4202,0.472454276976181,0.413218093550937,0.540182163648579,5.31184042907198e-28
"MIMIC","eGFR_per_30","aki2_7d",4202,0.701301129891529,0.539234227719284,0.912077256051279,0.00813510679245041
"MIMIC","eGFR_per_30","aki3_7d",4202,0.293343249570828,0.188988970842383,0.45531896218716,4.56691893584565e-08
"MIMIC","eGFR_per_30","aki2_rrt_48h",4690,0.635335009064994,0.464452351314204,0.869089310456617,0.00454268194208567
"MIMIC","eGFR_per_30","aki2_rrt_7d",4202,0.599318336473978,0.462146900919961,0.777204104839692,0.000113042445614632
"MIMIC","eGFR_per_30","death_48h_all",5428,0.307993069682062,0.146659812192706,0.646801121274704,0.00186449492375362
"MIMIC","eGFR_per_30","death_48h_never",4097,0.286600121543877,0.121135161466147,0.678082471470684,0.00445268168691599
"MIMIC","eGFR_per_30","death_48h_censored",4690,0.28882815394743,0.127999655523522,0.651733804840985,0.0027797471893996
"MIMIC","eGFR_per_30","death_7d_all",5428,0.310514836058506,0.198747422774022,0.485135666499035,2.78650902823081e-07
"MIMIC","eGFR_per_30","death_7d_never",4097,0.293855147946177,0.162250547375759,0.532206820692494,5.31407847576088e-05
"MIMIC","eGFR_per_30","death_7d_censored",4202,0.275294252133502,0.153262049967668,0.494492441369094,1.58404739867186e-05
"MIMIC","eGFR_per_30","hosp_mort_descriptive",5428,0.357857905468512,0.269925085885325,0.474436379583913,9.16266199027716e-13
