"db","group_type","group_level","method","events_trt","events_ctl","sparse_lt20","hospital_eligibility","hospitalid","teachingstatus","numbedscategory","region","same_hospital_pair_fraction","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","hospital","63","psm",7,7,TRUE,FALSE,63,"Non-teaching","100 - 249","Midwest",0,27,0.259259259259259,0.259259259259259,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","63","dr",7,7,TRUE,FALSE,63,"Non-teaching","100 - 249","Midwest",0,27,0.259259259259259,0.259259259259259,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","68","psm",1,1,TRUE,FALSE,68,"Non-teaching","<100","Midwest",0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","68","dr",1,1,TRUE,FALSE,68,"Non-teaching","<100","Midwest",0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","71","psm",0,7,TRUE,FALSE,71,"Non-teaching","100 - 249","Midwest",0,16,0,0.4375,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","71","dr",0,7,TRUE,FALSE,71,"Non-teaching","100 - 249","Midwest",0,16,0,0.4375,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","73","psm",42,53,FALSE,TRUE,73,"Teaching",">= 500","Midwest",0.0382978723404255,227,0.185022026431718,0.233480176211454,0.745334013256897,0.472521020756099,1.17565730817376,0.20621392447554,-0.0484581497797357,-0.123326496734664,0.0264101971751924,0.205236764157355
"EICU","hospital","73","dr",42,53,FALSE,TRUE,73,"Teaching",">= 500","Midwest",0.0382978723404255,227,0.185022026431718,0.233480176211454,0.540834063881706,0.330568242648182,0.884844479649868,0.0144015755294253,-0.102031319733279,-0.177269456363755,-0.0267931831028032,0.00814224835706976
"EICU","hospital","141","psm",3,7,TRUE,FALSE,141,"Non-teaching","250 - 499","South",0,25,0.12,0.28,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","141","dr",3,7,TRUE,FALSE,141,"Non-teaching","250 - 499","South",0,25,0.12,0.28,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","142","psm",32,34,FALSE,TRUE,142,"Non-teaching",">= 500","South",0.00714285714285714,136,0.235294117647059,0.25,0.923076923076341,0.529011172243364,1.61068622105414,0.778090264778343,-0.0147058823529412,-0.116959095481075,0.0875473307751926,0.778248508636045
"EICU","hospital","142","dr",32,34,FALSE,TRUE,142,"Non-teaching",">= 500","South",0.00714285714285714,136,0.235294117647059,0.25,1.02891046453198,0.575320862132773,1.84011534033178,0.92344762522003,0.00614334831132741,-0.0972025435048578,0.109489240127513,0.907335258523452
"EICU","hospital","146","psm",12,11,TRUE,FALSE,146,"Non-teaching","250 - 499","West",0,28,0.428571428571429,0.392857142857143,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","146","dr",12,11,TRUE,FALSE,146,"Non-teaching","250 - 499","West",0,28,0.428571428571429,0.392857142857143,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","148","psm",8,8,TRUE,FALSE,148,"Non-teaching","250 - 499","West",0,44,0.181818181818182,0.181818181818182,1,0.334219808854039,2.99204288168545,1,-1.29135944106355e-17,-0.163034835191948,0.163034835191948,1
"EICU","hospital","148","dr",8,8,TRUE,FALSE,148,"Non-teaching","250 - 499","West",0,44,0.181818181818182,0.181818181818182,0.907317699593954,0.257248325837075,3.20011959385051,0.879783802574527,-0.0161581182931171,-0.20270378001348,0.170387543427246,0.865608931376962
"EICU","hospital","152","psm",15,3,TRUE,FALSE,152,"Non-teaching","100 - 249","West",0,38,0.394736842105263,0.0789473684210526,7.60869565217123,1.94367441953338,29.7849521224175,0.00356292225452443,0.315789473684211,0.135911548470091,0.495667398898331,0.000956444464394995
"EICU","hospital","152","dr",15,3,TRUE,FALSE,152,"Non-teaching","100 - 249","West",0,38,0.394736842105263,0.0789473684210526,15.8328399262727,3.63812778434982,68.9032477664264,0.000232105652873419,0.361602053617013,0.197789186355368,0.525414920878658,4.93574127668996e-05
"EICU","hospital","165","psm",5,7,TRUE,FALSE,165,"Non-teaching",">= 500","West",0,27,0.185185185185185,0.259259259259259,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","165","dr",5,7,TRUE,FALSE,165,"Non-teaching",">= 500","West",0,27,0.185185185185185,0.259259259259259,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","167","psm",15,10,TRUE,FALSE,167,"Teaching",">= 500","West",0.04,50,0.3,0.2,1.71428571428737,0.676947996540443,4.34121309942334,0.255546715489553,0.1,-0.0703173508483503,0.27031735084835,0.252617619824778
"EICU","hospital","167","dr",15,10,TRUE,FALSE,167,"Teaching",">= 500","West",0.04,50,0.3,0.2,1.85429248070165,0.661103622647456,5.20100100225932,0.240587764556645,0.110295320577086,-0.0642385954382188,0.284829236592391,0.218575466108034
"EICU","hospital","171","psm",0,2,TRUE,FALSE,171,"Non-teaching","100 - 249","West",0,7,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","171","dr",0,2,TRUE,FALSE,171,"Non-teaching","100 - 249","West",0,7,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","176","psm",9,14,TRUE,FALSE,176,"Non-teaching","Unknown","Unknown",0,61,0.147540983606557,0.229508196721311,0.58104395604283,0.228486792037194,1.47759997785318,0.254231018803165,-0.0819672131147541,-0.221160985917893,0.0572265596883851,0.250716675137283
"EICU","hospital","176","dr",9,14,TRUE,FALSE,176,"Non-teaching","Unknown","Unknown",0,61,0.147540983606557,0.229508196721311,0.950627787740153,0.327061190824753,2.76307069189373,0.925895106360929,-0.0103050607465167,-0.149127095472476,0.128516973979442,0.884572539864853
"EICU","hospital","183","psm",1,0,TRUE,FALSE,183,"Non-teaching",">= 500","South",0,4,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","183","dr",1,0,TRUE,FALSE,183,"Non-teaching",">= 500","South",0,4,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","188","psm",6,1,TRUE,FALSE,188,"Teaching",">= 500","South",0,14,0.428571428571429,0.0714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","188","dr",6,1,TRUE,FALSE,188,"Teaching",">= 500","South",0,14,0.428571428571429,0.0714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","195","psm",34,43,FALSE,TRUE,195,"Teaching","250 - 499","South",0.0789473684210526,107,0.317757009345794,0.401869158878505,0.693214399490637,0.394441066611939,1.21829658303287,0.202785749372643,-0.0841121495327102,-0.212829241725089,0.0446049426596681,0.201666149806459
"EICU","hospital","195","dr",34,43,FALSE,TRUE,195,"Teaching","250 - 499","South",0.0789473684210526,107,0.317757009345794,0.401869158878505,1.10207994621031,0.587318228769857,2.06801040448357,0.762124707408812,0.0202645009410671,-0.109352432332618,0.149881434214753,0.759584342888044
"EICU","hospital","197","psm",4,8,TRUE,FALSE,197,"Non-teaching","Unknown","South",0.0526315789473684,37,0.108108108108108,0.216216216216216,0.439393940701588,0.117644438308544,1.64110635318702,0.221260841970339,-0.108108108108108,-0.276551426556506,0.0603352103402895,0.212477238930246
"EICU","hospital","197","dr",4,8,TRUE,FALSE,197,"Non-teaching","Unknown","South",0.0526315789473684,37,0.108108108108108,0.216216216216216,0.387374122246326,0.0878178716257988,1.70874911687142,0.210405795742325,-0.124868918137702,-0.294706717373379,0.0449688810979752,0.154162501859491
"EICU","hospital","198","psm",20,30,FALSE,FALSE,198,"Teaching",">= 500","South",0.032258064516129,86,0.232558139534884,0.348837209302326,0.565656565657748,0.28874120369782,1.10814579344408,0.0967744965646136,-0.116279069767442,-0.251675989597741,0.0191178500628568,0.0941620540804303
"EICU","hospital","198","dr",20,30,FALSE,FALSE,198,"Teaching",">= 500","South",0.032258064516129,86,0.232558139534884,0.348837209302326,0.679093818576992,0.307698808972294,1.49876567923604,0.337984383297107,-0.069907020662481,-0.197794771382796,0.0579807300578344,0.285548952766478
"EICU","hospital","199","psm",8,9,TRUE,FALSE,199,"Teaching",">= 500","Northeast",0,39,0.205128205128205,0.230769230769231,0.860215053762015,0.289030098267082,2.56018298147969,0.786703998064753,-0.0256410256410256,-0.211192558263424,0.159910506981373,0.787241570683349
"EICU","hospital","199","dr",8,9,TRUE,FALSE,199,"Teaching",">= 500","Northeast",0,39,0.205128205128205,0.230769230769231,1.14082578833756,0.32267402914508,4.03343114654833,0.837975936145642,0.0245098878905539,-0.183926498498868,0.232946274279976,0.818376279890194
"EICU","hospital","202","psm",3,3,TRUE,FALSE,202,"Non-teaching","100 - 249","Northeast",0,17,0.176470588235294,0.176470588235294,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","202","dr",3,3,TRUE,FALSE,202,"Non-teaching","100 - 249","Northeast",0,17,0.176470588235294,0.176470588235294,NA,NA,NA,NA,NA,NA,NA,NA
"EICU","hospital","206","psm",10,6,TRUE,FALSE,206,"Non-teaching","250 - 499","Northeast",0.0666666666666667,30,0.333333333333333,0.2,2,0.606418541664135,6.59610438200517,0.254925770176909,0.133333333333333,-0.0916835157590824,0.358350182425749,0.250238931274895
