"db","analysis","outcome","method","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","frozen_eicu_20var","aki1_48h","psm",454,422,FALSE,1887,0.240593534711182,0.223635400105988,1.09985348736577,0.945458790733669,1.27946104634762,0.217474933165105,0.0169581346051935,-0.00998275707140082,0.0438990262817877,0.217378218771204
"EICU","frozen_eicu_20var","aki1_48h","dr",454,422,FALSE,1887,0.240593534711182,0.223635400105988,1.2386640589769,1.05712116978071,1.45138390457113,0.00812121901189935,0.0338616543132497,0.00723895577594588,0.0604843528505535,0.0127115602007339
"EICU","frozen_eicu_20var","aki2_48h","psm",64,53,FALSE,1887,0.0339162692103869,0.0280869104398516,1.21483352132341,0.839260546107363,1.75847713963936,0.302384109060794,0.00582935877053527,-0.00523158852521757,0.0168903060662881,0.301687695555239
"EICU","frozen_eicu_20var","aki2_48h","dr",64,53,FALSE,1887,0.0339162692103869,0.0280869104398516,1.18914697523541,0.821143830326736,1.72207410746647,0.35916511986075,0.00512968735055486,-0.00590813985039162,0.0161675145515013,0.362414428417794
"EICU","frozen_eicu_20var","aki1_7d","psm",485,442,FALSE,1815,0.267217630853994,0.243526170798898,1.13276120164668,0.975592647644244,1.31524970289028,0.10189080857856,0.0236914600550964,-0.00467782529196194,0.0520607454021548,0.101755936296651
"EICU","frozen_eicu_20var","aki1_7d","dr",485,442,FALSE,1815,0.267217630853994,0.243526170798898,1.24156865964193,1.06370152874456,1.44917788961385,0.00609149980990764,0.0380006752370482,0.00984169990646528,0.0661596505676311,0.00820363083552174
"EICU","frozen_eicu_20var","aki2_7d","psm",104,88,FALSE,1815,0.0573002754820937,0.0484848484848485,1.19286965600923,0.891033221590499,1.59695282033103,0.236067893235359,0.00881542699724516,-0.00574805161768732,0.0233789056121776,0.235538645982769
"EICU","frozen_eicu_20var","aki2_7d","dr",104,88,FALSE,1815,0.0573002754820937,0.0484848484848485,1.22565873326918,0.915149832962769,1.64152281553235,0.172211560228685,0.0101541422019013,-0.00443451088752056,0.0247427952913231,0.172583341097058
"EICU","map_rematched","aki1_48h","psm",448,394,FALSE,1870,0.239572192513369,0.210695187165775,1.18023517316943,1.0120253957768,1.37640326991703,0.0346542999267525,0.0288770053475935,0.00211365982307913,0.0556403508721078,0.0345136214401768
"EICU","map_rematched","aki1_48h","dr",448,394,FALSE,1870,0.239572192513369,0.210695187165775,1.30845475487282,1.11321390303468,1.53793789395024,0.00111076938357247,0.0430728023315194,0.0163872214872738,0.069758383175765,0.00157077817275878
