hospitalid,n_treated,map_periodic_n_treated,map_periodic_pct_treated,map_aperiodic_n_treated,map_aperiodic_pct_treated,map_any_n_treated,map_any_pct_treated,vaso_infusion_interface_near_t0_n_treated,vaso_infusion_interface_near_t0_pct_treated,vaso_rate_near_t0_n_treated,vaso_rate_near_t0_pct_treated,vaso_active_med_interval_n_treated,vaso_active_med_interval_pct_treated,vaso_best_effort_n_treated,vaso_best_effort_pct_treated,vaso_positive_best_effort_n_treated,vaso_positive_best_effort_pct_treated,vent_explicit_state_n_treated,vent_explicit_state_pct_treated,vent_explicit_on_n_treated,vent_explicit_on_pct_treated,vent_explicit_off_n_treated,vent_explicit_off_pct_treated,vent_setting_on_n_treated,vent_setting_on_pct_treated,vent_care_interval_on_n_treated,vent_care_interval_on_pct_treated,vent_treatment_support_n_treated,vent_treatment_support_pct_treated,vent_clean_n_treated,vent_clean_pct_treated,vent_positive_clean_n_treated,vent_positive_clean_pct_treated,n_control,map_periodic_n_control,map_periodic_pct_control,map_aperiodic_n_control,map_aperiodic_pct_control,map_any_n_control,map_any_pct_control,vaso_infusion_interface_near_t0_n_control,vaso_infusion_interface_near_t0_pct_control,vaso_rate_near_t0_n_control,vaso_rate_near_t0_pct_control,vaso_active_med_interval_n_control,vaso_active_med_interval_pct_control,vaso_best_effort_n_control,vaso_best_effort_pct_control,vaso_positive_best_effort_n_control,vaso_positive_best_effort_pct_control,vent_explicit_state_n_control,vent_explicit_state_pct_control,vent_explicit_on_n_control,vent_explicit_on_pct_control,vent_explicit_off_n_control,vent_explicit_off_pct_control,vent_setting_on_n_control,vent_setting_on_pct_control,vent_care_interval_on_n_control,vent_care_interval_on_pct_control,vent_treatment_support_n_control,vent_treatment_support_pct_control,vent_clean_n_control,vent_clean_pct_control,vent_positive_clean_n_control,vent_positive_clean_pct_control,frozen_pair_rows_treated_site,frozen_pair_rows_control_site,frozen_unique_treated_site,frozen_unique_control_site,frozen_same_site_pair_rows,map_pass_both,vaso_best_effort_pass_both,vent_clean_pass_both,n_treated_pass,high_fidelity_site,vaso_schema_note,vent_schema_note
63,30,29,0.9666666666666667,14,0.4666666666666667,29,0.9666666666666667,0,0.0,0,0.0,1,0.03333333333333333,1,0.03333333333333333,1,0.03333333333333333,22,0.7333333333333333,22,0.7333333333333333,3,0.1,27,0.9,19,0.6333333333333333,0,0.0,27,0.9,27,0.9,3,3,1.0,1,0.3333333333333333,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.6666666666666666,2,0.6666666666666666,0,0.0,2,0.6666666666666666,2,0.6666666666666666,0,0.0,2,0.6666666666666666,2,0.6666666666666666,28,0,28,0,0,True,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
68,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,1,1.0,1,1.0,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,1,0,0,True,False,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
71,18,14,0.7777777777777778,7,0.3888888888888889,14,0.7777777777777778,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,0.7777777777777778,14,0.7777777777777778,0,0.0,16,0.8888888888888888,17,0.9444444444444444,0,0.0,18,1.0,18,1.0,3,3,1.0,1,0.3333333333333333,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,2,0.6666666666666666,2,0.6666666666666666,18,1,18,1,0,False,False,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
73,279,170,0.6093189964157706,130,0.4659498207885305,223,0.7992831541218638,0,0.0,0,0.0,19,0.06810035842293907,19,0.06810035842293907,19,0.06810035842293907,117,0.41935483870967744,117,0.41935483870967744,3,0.010752688172043012,142,0.5089605734767025,138,0.4946236559139785,0,0.0,185,0.6630824372759857,185,0.6630824372759857,889,287,0.3228346456692913,726,0.8166479190101237,841,0.9460067491563554,0,0.0,0,0.0,28,0.031496062992125984,28,0.031496062992125984,28,0.031496062992125984,66,0.07424071991001124,65,0.07311586051743532,4,0.0044994375703037125,143,0.1608548931383577,49,0.05511811023622047,0,0.0,156,0.17547806524184478,155,0.17435320584926883,235,61,235,50,9,False,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
85,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,14,13,0.9285714285714286,3,0.21428571428571427,14,1.0,5,0.35714285714285715,3,0.21428571428571427,0,0.0,5,0.35714285714285715,3,0.21428571428571427,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.6428571428571429,0,0.0,0,0.0,0,0,0,0,0,False,False,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
110,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,234,46,0.19658119658119658,220,0.9401709401709402,221,0.9444444444444444,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,69,0.2948717948717949,49,0.2094017094017094,48,0.20512820512820512,83,0.3547008547008547,83,0.3547008547008547,0,8,0,7,0,False,False,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
122,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,383,277,0.7232375979112271,337,0.8798955613577023,344,0.8981723237597912,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,132,0.34464751958224543,136,0.35509138381201044,228,0.5953002610966057,198,0.5169712793733682,198,0.5169712793733682,0,36,0,28,0,False,False,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
141,25,22,0.88,23,0.92,23,0.92,23,0.92,17,0.68,0,0.0,23,0.92,17,0.68,0,0.0,0,0.0,0,0.0,15,0.6,17,0.68,7,0.28,22,0.88,22,0.88,5,1,0.2,5,1.0,5,1.0,2,0.4,1,0.2,0,0.0,2,0.4,1,0.2,0,0.0,0,0.0,0,0.0,1,0.2,2,0.4,1,0.2,2,0.4,2,0.4,25,0,25,0,0,True,False,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
142,155,108,0.6967741935483871,128,0.8258064516129032,143,0.9225806451612903,127,0.8193548387096774,93,0.6,0,0.0,127,0.8193548387096774,93,0.6,0,0.0,0,0.0,0,0.0,101,0.6516129032258065,94,0.6064516129032258,50,0.3225806451612903,123,0.7935483870967742,123,0.7935483870967742,180,39,0.21666666666666667,165,0.9166666666666666,170,0.9444444444444444,111,0.6166666666666667,38,0.2111111111111111,0,0.0,111,0.6166666666666667,38,0.2111111111111111,0,0.0,0,0.0,0,0.0,59,0.3277777777777778,46,0.25555555555555554,39,0.21666666666666667,76,0.4222222222222222,76,0.4222222222222222,140,24,140,17,1,True,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
146,29,26,0.896551724137931,23,0.7931034482758621,27,0.9310344827586207,15,0.5172413793103449,12,0.41379310344827586,25,0.8620689655172413,29,1.0,27,0.9310344827586207,0,0.0,0,0.0,0,0.0,21,0.7241379310344828,17,0.5862068965517241,25,0.8620689655172413,25,0.8620689655172413,25,0.8620689655172413,17,14,0.8235294117647058,10,0.5882352941176471,14,0.8235294117647058,3,0.17647058823529413,2,0.11764705882352941,15,0.8823529411764706,15,0.8823529411764706,15,0.8823529411764706,0,0.0,0,0.0,0,0.0,10,0.5882352941176471,10,0.5882352941176471,10,0.5882352941176471,12,0.7058823529411765,12,0.7058823529411765,28,6,28,3,0,True,True,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
148,61,38,0.6229508196721312,52,0.8524590163934426,57,0.9344262295081968,40,0.6557377049180327,24,0.39344262295081966,34,0.5573770491803278,46,0.7540983606557377,36,0.5901639344262295,0,0.0,0,0.0,0,0.0,31,0.5081967213114754,36,0.5901639344262295,23,0.3770491803278688,38,0.6229508196721312,38,0.6229508196721312,453,113,0.24944812362030905,373,0.8233995584988962,394,0.869757174392936,99,0.2185430463576159,35,0.0772626931567329,51,0.11258278145695365,108,0.23841059602649006,59,0.13024282560706402,0,0.0,0,0.0,0,0.0,59,0.13024282560706402,46,0.10154525386313466,54,0.11920529801324503,63,0.1390728476821192,63,0.1390728476821192,47,28,47,22,0,True,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
152,57,46,0.8070175438596491,41,0.7192982456140351,54,0.9473684210526315,15,0.2631578947368421,14,0.24561403508771928,40,0.7017543859649122,43,0.7543859649122807,42,0.7368421052631579,0,0.0,0,0.0,0,0.0,33,0.5789473684210527,39,0.6842105263157895,31,0.543859649122807,41,0.7192982456140351,41,0.7192982456140351,578,182,0.314878892733564,445,0.7698961937716263,492,0.8512110726643599,32,0.05536332179930796,9,0.015570934256055362,74,0.12802768166089964,98,0.1695501730103806,78,0.13494809688581316,0,0.0,0,0.0,0,0.0,94,0.16262975778546712,100,0.17301038062283736,72,0.1245674740484429,108,0.18685121107266436,108,0.18685121107266436,41,38,41,27,0,True,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
165,39,25,0.6410256410256411,34,0.8717948717948718,37,0.9487179487179487,26,0.6666666666666666,17,0.4358974358974359,22,0.5641025641025641,29,0.7435897435897436,24,0.6153846153846154,0,0.0,0,0.0,0,0.0,19,0.48717948717948717,22,0.5641025641025641,20,0.5128205128205128,25,0.6410256410256411,25,0.6410256410256411,257,63,0.245136186770428,218,0.8482490272373541,225,0.8754863813229572,65,0.2529182879377432,20,0.07782101167315175,26,0.10116731517509728,71,0.27626459143968873,33,0.12840466926070038,0,0.0,0,0.0,0,0.0,37,0.14396887159533073,29,0.11284046692607004,32,0.1245136186770428,40,0.1556420233463035,40,0.1556420233463035,29,21,29,14,0,True,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
167,81,57,0.7037037037037037,71,0.8765432098765432,79,0.9753086419753086,56,0.691358024691358,41,0.5061728395061729,41,0.5061728395061729,60,0.7407407407407407,49,0.6049382716049383,0,0.0,0,0.0,0,0.0,43,0.5308641975308642,42,0.5185185185185185,43,0.5308641975308642,49,0.6049382716049383,49,0.6049382716049383,506,128,0.25296442687747034,437,0.8636363636363636,458,0.9051383399209486,104,0.20553359683794467,40,0.07905138339920949,49,0.09683794466403162,109,0.21541501976284586,59,0.116600790513834,0,0.0,0,0.0,0,0.0,49,0.09683794466403162,52,0.10276679841897234,51,0.1007905138339921,61,0.12055335968379446,61,0.12055335968379446,50,27,50,24,2,True,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
171,8,7,0.875,3,0.375,7,0.875,7,0.875,7,0.875,6,0.75,7,0.875,7,0.875,0,0.0,0,0.0,0,0.0,4,0.5,5,0.625,5,0.625,5,0.625,5,0.625,11,5,0.45454545454545453,5,0.45454545454545453,5,0.45454545454545453,10,0.9090909090909091,5,0.45454545454545453,9,0.8181818181818182,11,1.0,11,1.0,0,0.0,0,0.0,0,0.0,4,0.36363636363636365,7,0.6363636363636364,5,0.45454545454545453,8,0.7272727272727273,8,0.7272727272727273,8,4,8,2,0,False,True,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
176,89,48,0.5393258426966292,77,0.8651685393258427,84,0.9438202247191011,54,0.6067415730337079,42,0.47191011235955055,49,0.550561797752809,61,0.6853932584269663,53,0.5955056179775281,0,0.0,0,0.0,0,0.0,38,0.42696629213483145,45,0.5056179775280899,31,0.34831460674157305,48,0.5393258426966292,48,0.5393258426966292,639,73,0.11424100156494522,540,0.8450704225352113,560,0.8763693270735524,141,0.22065727699530516,37,0.057902973395931145,51,0.07981220657276995,153,0.23943661971830985,61,0.09546165884194054,0,0.0,0,0.0,0,0.0,51,0.07981220657276995,54,0.08450704225352113,51,0.07981220657276995,64,0.10015649452269171,64,0.10015649452269171,63,46,63,31,0,True,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
183,5,4,0.8,3,0.6,4,0.8,4,0.8,3,0.6,2,0.4,4,0.8,3,0.6,0,0.0,0,0.0,0,0.0,3,0.6,5,1.0,0,0.0,5,1.0,5,1.0,279,20,0.07168458781362007,49,0.17562724014336917,63,0.22580645161290322,110,0.3942652329749104,17,0.06093189964157706,23,0.08243727598566308,116,0.4157706093189964,28,0.1003584229390681,0,0.0,0,0.0,0,0.0,25,0.08960573476702509,35,0.12544802867383512,7,0.025089605734767026,38,0.13620071684587814,38,0.13620071684587814,4,17,4,16,0,False,False,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
188,17,16,0.9411764705882353,17,1.0,17,1.0,17,1.0,16,0.9411764705882353,0,0.0,17,1.0,16,0.9411764705882353,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.7647058823529411,0,0.0,0,0.0,656,285,0.4344512195121951,597,0.9100609756097561,627,0.9557926829268293,540,0.823170731707317,213,0.3246951219512195,0,0.0,540,0.823170731707317,213,0.3246951219512195,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,223,0.3399390243902439,0,0.0,0,0.0,14,31,14,26,0,True,True,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
