"db","cohort","domain","measure","level","n_total","n_nonmissing","count","percent","mean","sd","q25","median","q75","unit","provenance","note"
"EICU","frozen matched treated patients","albumin_practice","first_albumin_product_label","unknown",1949,0,1949,1,NA,NA,NA,NA,NA,"proportion","did_all alb_product","Product concentration is not identifiable in the aligned exposure."
"EICU","frozen matched treated patients","albumin_practice","first_albumin_time_from_icu_or_postop_start",NA,1949,1949,NA,NA,17.4720283906277,38.056398849558,1.08333333333333,5.2,18.95,"hours","Hours from ICU admission to first albumin; exact surgery-stop offset unavailable",""
"EICU","frozen matched treated patients","albumin_practice","first_albumin_time_from_T0",NA,1949,1949,NA,NA,0,0,0,0,0,"hours","T0 is first albumin by definition",""
"EICU","frozen matched treated patients","case_mix","surgery_type","cabg",1949,1949,678,0.347870702924577,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"EICU","frozen matched treated patients","case_mix","surgery_type","combined",1949,1949,135,0.0692662904053361,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"EICU","frozen matched treated patients","case_mix","surgery_type","other_cardiac",1949,1949,790,0.405336069779374,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"EICU","frozen matched treated patients","case_mix","surgery_type","valve",1949,1949,346,0.177526936890713,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"EICU","frozen matched treated patients","case_mix","aortic_surgery","aortic",1949,1949,108,0.0554130323242689,NA,NA,NA,NA,NA,"proportion","surg file",""
"EICU","frozen matched treated patients","case_mix","aortic_surgery","not_aortic",1949,1949,1841,0.944586967675731,NA,NA,NA,NA,NA,"proportion","surg file",""
"EICU","frozen matched treated patients","case_mix","age",NA,1949,1949,NA,NA,66.5715751667522,12.7125716945242,59,67,76,"years","did_all",""
"EICU","frozen matched treated patients","case_mix","baseline_egfr",NA,1949,1949,NA,NA,74.3223346527453,24.4060859237436,56.6844777237314,76.5110980636412,93.9866676651253,"mL/min/1.73m2","did_all",""
"EICU","frozen matched treated patients","case_mix","comorbidity_count_8",NA,1949,1949,NA,NA,1.34222678296562,1.04977134886034,1,1,2,"count","Sum of heart_failure, hypertension, diabetes, ckd, copd, pvd, stroke, liver_disease",""
"EICU","frozen matched treated patients","case_mix","cardiopulmonary_bypass_proxy","not_available",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"unavailable","No validated harmonized CPB field. Surgery type is reported separately and is not relabeled as CPB."
"EICU","frozen matched treated patients","albumin_practice","exact_time_from_surgery_stop","not_available",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"unavailable","Exact surgery-stop timestamp is not carried into the aligned frozen frame."
