"db","cohort","domain","measure","level","n_total","n_nonmissing","count","percent","mean","sd","q25","median","q75","unit","provenance","note"
"IUH","frozen matched treated patients","albumin_practice","first_albumin_product_label","25pct",1375,1375,8,0.00581818181818182,NA,NA,NA,NA,NA,"proportion","did_all alb_product","Source-derived product label; descriptive only, not a dose exposure."
"IUH","frozen matched treated patients","albumin_practice","first_albumin_product_label","5pct",1375,1375,1367,0.994181818181818,NA,NA,NA,NA,NA,"proportion","did_all alb_product","Source-derived product label; descriptive only, not a dose exposure."
"IUH","frozen matched treated patients","albumin_practice","first_albumin_time_from_icu_or_postop_start",NA,1375,1375,NA,NA,8.0556195959596,16.413164128211,1.62611111111111,3.26638888888889,7.70319444444444,"hours","Hours from postop_start=max(ICU entry, surgery stop) to first albumin",""
"IUH","frozen matched treated patients","albumin_practice","first_albumin_time_from_T0",NA,1375,1375,NA,NA,0,0,0,0,0,"hours","T0 is first albumin by definition",""
"IUH","frozen matched treated patients","case_mix","surgery_type","aortic",1375,1375,77,0.056,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"IUH","frozen matched treated patients","case_mix","surgery_type","cabg",1375,1375,753,0.547636363636364,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"IUH","frozen matched treated patients","case_mix","surgery_type","combined",1375,1375,136,0.0989090909090909,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"IUH","frozen matched treated patients","case_mix","surgery_type","other_cardiac",1375,1375,37,0.0269090909090909,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"IUH","frozen matched treated patients","case_mix","surgery_type","valve",1375,1375,372,0.270545454545455,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"IUH","frozen matched treated patients","case_mix","aortic_surgery","aortic",1375,1375,149,0.108363636363636,NA,NA,NA,NA,NA,"proportion","surg file",""
"IUH","frozen matched treated patients","case_mix","aortic_surgery","not_aortic",1375,1375,1226,0.891636363636364,NA,NA,NA,NA,NA,"proportion","surg file",""
"IUH","frozen matched treated patients","case_mix","age",NA,1375,1375,NA,NA,62.7628657830875,14.0481901271106,56.8952772073922,65.1827515400411,72.6132785763176,"years","did_all",""
"IUH","frozen matched treated patients","case_mix","baseline_egfr",NA,1375,1375,NA,NA,80.9385573006468,22.2134429141255,65.4005309294178,82.4363527141457,96.9164667087495,"mL/min/1.73m2","did_all",""
"IUH","frozen matched treated patients","case_mix","comorbidity_count_8",NA,1375,1375,NA,NA,2.304,1.66059914478198,1,2,3,"count","Sum of heart_failure, hypertension, diabetes, ckd, copd, pvd, stroke, liver_disease",""
"IUH","frozen matched treated patients","case_mix","cardiopulmonary_bypass_proxy","not_available",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"unavailable","No validated harmonized CPB field. Surgery type is reported separately and is not relabeled as CPB."
"IUH","frozen matched treated patients","albumin_practice","exact_time_from_surgery_stop","not_available",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"unavailable","Aligned offset starts at max(ICU entry, surgery stop), not surgery stop alone; exact difference is not carried into did_all."
