"db","cohort","domain","measure","level","n_total","n_nonmissing","count","percent","mean","sd","q25","median","q75","unit","provenance","note"
"MIMIC","frozen matched treated patients","albumin_practice","first_albumin_product_label","25pct",5428,5428,171,0.0315033161385409,NA,NA,NA,NA,NA,"proportion","did_all alb_product","Nominal item label only. Entry 25 showed 5%/25% item labels cannot reliably establish administered concentration or grams."
"MIMIC","frozen matched treated patients","albumin_practice","first_albumin_product_label","5pct",5428,5428,5257,0.968496683861459,NA,NA,NA,NA,NA,"proportion","did_all alb_product","Nominal item label only. Entry 25 showed 5%/25% item labels cannot reliably establish administered concentration or grams."
"MIMIC","frozen matched treated patients","albumin_practice","first_albumin_time_from_icu_or_postop_start",NA,5428,5428,NA,NA,14.2454606259723,17.1002628204247,6.87472222222222,9.93694444444444,15.1963888888889,"hours","Hours from ICU admission to first albumin; exact surgery-stop offset unavailable",""
"MIMIC","frozen matched treated patients","albumin_practice","first_albumin_time_from_T0",NA,5428,5428,NA,NA,0,0,0,0,0,"hours","T0 is first albumin by definition",""
"MIMIC","frozen matched treated patients","case_mix","surgery_type","cabg",5428,5428,1152,0.212232866617539,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"MIMIC","frozen matched treated patients","case_mix","surgery_type","combined",5428,5428,503,0.0926676492262343,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"MIMIC","frozen matched treated patients","case_mix","surgery_type","other_cardiac",5428,5428,3023,0.5569270449521,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"MIMIC","frozen matched treated patients","case_mix","surgery_type","valve",5428,5428,750,0.138172439204127,NA,NA,NA,NA,NA,"proportion","database-aligned surgery classifier",""
"MIMIC","frozen matched treated patients","case_mix","aortic_surgery","aortic",5428,5428,471,0.0867722918201916,NA,NA,NA,NA,NA,"proportion","surg file",""
"MIMIC","frozen matched treated patients","case_mix","aortic_surgery","not_aortic",5428,5428,4957,0.913227708179808,NA,NA,NA,NA,NA,"proportion","surg file",""
"MIMIC","frozen matched treated patients","case_mix","age",NA,5428,5428,NA,NA,67.7595799557848,11.3730424225672,61,69,76,"years","did_all",""
"MIMIC","frozen matched treated patients","case_mix","baseline_egfr",NA,5428,5428,NA,NA,84.3450414669881,21.1383651532545,70.8817741722726,90.1349635826525,99.5491462519208,"mL/min/1.73m2","did_all",""
"MIMIC","frozen matched treated patients","case_mix","comorbidity_count_8",NA,5428,5428,NA,NA,1.88061901252763,1.19798377391232,1,2,3,"count","Sum of heart_failure, hypertension, diabetes, ckd, copd, pvd, stroke, liver_disease",""
"MIMIC","frozen matched treated patients","case_mix","cardiopulmonary_bypass_proxy","not_available",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"unavailable","No validated harmonized CPB field. Surgery type is reported separately and is not relabeled as CPB."
"MIMIC","frozen matched treated patients","albumin_practice","exact_time_from_surgery_stop","not_available",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"unavailable","Exact surgery-stop timestamp is not carried into the aligned frozen frame."
