"horizon","analysis","component","death_before_aki_trt","death_before_aki_ctl","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p","scale","n_pairs","term","estimate","ci_lo","ci_hi","p_term"
"48h","aki_original","effect",15,10,4690,0.353518123667377,0.251599147121535,1.62659876570336,1.48796313926891,1.77815126918243,9.77371480483589e-27,0.101918976545842,0.0834390309521082,0.120398922139576,4.47447239461844e-27,NA,NA,NA,NA,NA,NA,NA
"48h","aki_original","egfr_interaction",15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4690,"treated:egfr30",0.422829655533716,0.370794809470755,0.482166721411081,8.8839512061079e-38
"48h","aki_original","egfr_interaction",15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4690,"treated:egfr30",-0.190815114992839,-0.21650904709121,-0.165121182894467,1.76241570834368e-47
"48h","aki_or_death","effect",15,10,4690,0.356076759061834,0.253091684434968,1.63192030662826,1.49307126864007,1.78368169230888,3.63030536704239e-27,0.102985074626866,0.0844723002968883,0.121497848956843,1.62475572968208e-27,NA,NA,NA,NA,NA,NA,NA
"48h","aki_or_death","egfr_interaction",15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4690,"treated:egfr30",0.415457080944331,0.364364448156369,0.473714126008008,2.54245189686317e-39
"48h","aki_or_death","egfr_interaction",15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4690,"treated:egfr30",-0.194986418749848,-0.220634574559441,-0.169338262940256,1.20506241023507e-49
"48h","death_censored_pairs","effect",15,10,4671,0.354099764504389,0.251766217084136,1.62929623290665,1.49019931234089,1.78137662028162,8.06632848992078e-27,0.102333547420253,0.0838104274696212,0.120856667370885,3.66447216915874e-27,NA,NA,NA,NA,NA,NA,NA
"48h","death_censored_pairs","egfr_interaction",15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4671,"treated:egfr30",0.417493914244306,0.365877140131662,0.476392617391481,1.74881418749122e-38
"48h","death_censored_pairs","egfr_interaction",15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4671,"treated:egfr30",-0.193618539062432,-0.219389510320703,-0.167847567804161,1.54347678075712e-48
"7d","aki_original","effect",21,34,4202,0.398381722989053,0.288910042836744,1.6298224302935,1.48817501680331,1.78495212209231,6.27596375345388e-26,0.109471680152308,0.0892965787421723,0.129646781562444,3.00330332099672e-26,NA,NA,NA,NA,NA,NA,NA
"7d","aki_original","egfr_interaction",21,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4202,"treated:egfr30",0.472454276976181,0.413218093550937,0.540182163648579,5.31184042907198e-28
"7d","aki_original","egfr_interaction",21,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4202,"treated:egfr30",-0.173485428799554,-0.201623686907089,-0.145347170692018,2.4147507327941e-33
"7d","aki_or_death","effect",21,34,4202,0.401475487862922,0.293193717277487,1.61704771371525,1.47690321428845,1.77049063414188,2.72859921821919e-25,0.108281770585436,0.0880521407649079,0.128511400405963,1.36481678533945e-25,NA,NA,NA,NA,NA,NA,NA
"7d","aki_or_death","egfr_interaction",21,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4202,"treated:egfr30",0.463871522894538,0.405871865009006,0.530159413113602,1.80930726688189e-29
"7d","aki_or_death","egfr_interaction",21,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4202,"treated:egfr30",-0.178026837213216,-0.206109437573998,-0.149944236852434,3.87818993116959e-35
"7d","death_censored_pairs","effect",21,34,4171,0.39966434907696,0.290098297770319,1.62912464024231,1.48715878388607,1.78464271751089,9.45455673929991e-26,0.109566051306641,0.0892988335415319,0.129833269071751,4.55770831628234e-26,NA,NA,NA,NA,NA,NA,NA
"7d","death_censored_pairs","egfr_interaction",21,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4171,"treated:egfr30",0.46639904578444,0.407553466624897,0.533741184218277,1.49697567763424e-28
"7d","death_censored_pairs","egfr_interaction",21,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4171,"treated:egfr30",-0.176505737530008,-0.204803266573516,-0.1482082084865,4.44335640468432e-34
