"crossover_group","outcome","n_pairs","events_trt","events_ctl","rate_trt","rate_ctl"
"never","death_48h_all",4097,17,16,0.004149377593361,0.00390529655845741
"never","death_7d_all",4097,44,40,0.0107395655357579,0.00976324139614352
"never","aki1_48h",4097,1455,998,0.355137905784721,0.243592872833781
"never","aki1_7d",4097,1625,1147,0.39663168171833,0.279960947034415
"cross_after_7d","death_48h_all",105,3,0,0.0285714285714286,0
"cross_after_7d","death_7d_all",105,5,0,0.0476190476190476,0
"cross_after_7d","aki1_48h",105,45,53,0.428571428571429,0.504761904761905
"cross_after_7d","aki1_7d",105,49,67,0.466666666666667,0.638095238095238
"cross_48h_7d","death_48h_all",488,6,0,0.0122950819672131,0
"cross_48h_7d","death_7d_all",488,9,14,0.0184426229508197,0.0286885245901639
"cross_48h_7d","aki1_48h",488,158,129,0.323770491803279,0.264344262295082
"cross_48h_7d","aki1_7d",488,0,0,NA,NA
"cross_0_48h","death_48h_all",738,5,3,0.00677506775067751,0.0040650406504065
"cross_0_48h","death_7d_all",738,9,32,0.0121951219512195,0.043360433604336
"cross_0_48h","aki1_48h",738,0,0,NA,NA
"cross_0_48h","aki1_7d",738,0,0,NA,NA
