"horizon_h","definition","component","crossover_censor","eligible_pairs","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p","scale","n_pairs","term","estimate","ci_lo","ci_hi","p_term"
48,"absolute_delta_ge_0.3","effect","frozen_horizon_specific",4690,4690,0.349466950959488,0.249893390191898,1.61251947830658,1.47476375811151,1.76314277701521,9.91927831642559e-26,0.0995735607675899,0.0811391927402131,0.118007928794967,4.80293109381668e-26,NA,NA,NA,NA,NA,NA,NA
48,"absolute_delta_ge_0.3","egfr_interaction","frozen_horizon_specific",4690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4690,"treated:egfr30",0.406667388329357,0.356508967205729,0.463882762969005,6.29676286924956e-41
48,"absolute_delta_ge_0.3","egfr_interaction","frozen_horizon_specific",4690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4690,"treated:egfr30",-0.198144332453748,-0.22363067770584,-0.172657987201656,8.22846102918575e-52
48,"fixed_stage2_delta_ge_1.0","effect","frozen_horizon_specific",4690,4690,0.0477611940298507,0.0285714285714286,1.70532915357024,1.37127284710193,2.12076504552883,1.59847364128776e-06,0.0191897654584222,0.0114437959078879,0.0269357350089565,1.21913755952027e-06,NA,NA,NA,NA,NA,NA,NA
48,"fixed_stage2_delta_ge_1.0","egfr_interaction","frozen_horizon_specific",4690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4690,"treated:egfr30",0.204246263367662,0.149998584307278,0.278112865480079,6.42058419459471e-24
48,"fixed_stage2_delta_ge_1.0","egfr_interaction","frozen_horizon_specific",4690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4690,"treated:egfr30",-0.0842468836231718,-0.098796320083952,-0.0696974471623917,1.16863760573697e-29
168,"absolute_delta_ge_0.3","effect","frozen_horizon_specific",4202,4202,0.433127082341742,0.330794859590671,1.54571758210523,1.4146161175104,1.68896905249045,5.94055287650976e-22,0.102332222751072,0.0816693563903985,0.122995089111745,3.68501836073996e-22,NA,NA,NA,NA,NA,NA,NA
168,"absolute_delta_ge_0.3","egfr_interaction","frozen_horizon_specific",4202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4202,"treated:egfr30",0.410831423973371,0.3598071451649,0.469091459666914,1.75740525691034e-39
168,"absolute_delta_ge_0.3","egfr_interaction","frozen_horizon_specific",4202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4202,"treated:egfr30",-0.206845004861837,-0.235035987280056,-0.178654022443619,2.40992056322057e-46
168,"fixed_stage2_delta_ge_1.0","effect","frozen_horizon_specific",4202,4202,0.0749643027129938,0.0447405997144217,1.73027653406641,1.43665236527956,2.08391184721872,7.52994344398772e-09,0.0302237029985724,0.0200997378968246,0.0403476681003201,5.05995707111771e-09,NA,NA,NA,NA,NA,NA,NA
168,"fixed_stage2_delta_ge_1.0","egfr_interaction","frozen_horizon_specific",4202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4202,"treated:egfr30",0.235617823002107,0.180177770595915,0.308116580267593,4.50075763794641e-26
168,"fixed_stage2_delta_ge_1.0","egfr_interaction","frozen_horizon_specific",4202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4202,"treated:egfr30",-0.116856460437701,-0.134950639886644,-0.0987622809887585,2.16514869295365e-36
