"outcome","analysis","component","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p","scale","n_pairs","term","estimate","ci_lo","ci_hi","p_term"
"aki1_48h","never_treated_controls","effect",4097,0.355137905784721,0.243592872833781,1.71009885023175,1.55381035514582,1.88210747075984,5.16684692045845e-28,0.11154503295094,0.0918574125993846,0.131232653302495,1.89501760014919e-28,NA,NA,NA,NA,NA,NA,NA
"aki1_48h","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4097,"treated:egfr30",0.415348181283938,0.359851459910137,0.479403673223823,3.26011710416373e-33
"aki1_48h","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4097,"treated:egfr30",-0.193944352504604,-0.221613560703874,-0.166275144305335,1.76433077294613e-42
"aki1_7d","never_treated_controls","effect",4097,0.39663168171833,0.279960947034415,1.69068810432356,1.54118585859483,1.85469276801394,1.03505248809441e-28,0.116670734683915,0.0963356930370566,0.137005776330774,3.98771388781777e-29,NA,NA,NA,NA,NA,NA,NA
"aki1_7d","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4097,"treated:egfr30",0.463961303819933,0.40439737466101,0.532298439431602,6.3189930217383e-28
"aki1_7d","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4097,"treated:egfr30",-0.176655232154118,-0.20514019499691,-0.148170269311326,1.04749070339708e-33
"aki2_48h","never_treated_controls","effect",4097,0.0497925311203319,0.0241640224554552,2.11618366989206,1.65779439045327,2.70132010972324,1.76174028503152e-09,0.0256285086648767,0.0174743554092044,0.0337826619205489,7.60418204951012e-10,NA,NA,NA,NA,NA,NA,NA
"aki2_48h","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4097,"treated:egfr30",0.85636901262587,0.586394112219614,1.25063992032572,0.422276808097676
"aki2_48h","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4097,"treated:egfr30",-0.00703757628009356,-0.0197637289155036,0.00568857635531647,0.278448967409072
"aki2_7d","never_treated_controls","effect",4097,0.0820112277276056,0.0451549914571638,1.88913523958135,1.5701298331061,2.27295340689632,1.5746193732579e-11,0.0368562362704419,0.0263183253186506,0.0473941472222331,7.6438002946684e-12,NA,NA,NA,NA,NA,NA,NA
"aki2_7d","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4097,"treated:egfr30",0.668972799446531,0.508530595965092,0.880034770671005,0.00406055102751228
"aki2_7d","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4097,"treated:egfr30",-0.0319952680540258,-0.048721290262184,-0.0152692458458675,0.000178556471002634
"death_48h_all","never_treated_controls","effect",4097,0.004149377593361,0.00390529655845741,1.06276041661877,0.53617784406853,2.10650200418825,0.861565757949276,0.000244081034903591,-0.00249890115751919,0.00298706322732637,0.861548911017579,NA,NA,NA,NA,NA,NA,NA
"death_48h_all","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4097,"treated:egfr30",0.286600121543877,0.121135161466147,0.678082471470684,0.00445268168691599
"death_48h_all","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4097,"treated:egfr30",-0.00677155342745339,-0.012280606540205,-0.00126250031470178,0.0160107822122843
"death_7d_all","never_treated_controls","effect",4097,0.0107395655357579,0.00976324139614352,1.10108561541717,0.71594241147468,1.69341767305189,0.661043915266374,0.00097632413961434,-0.00338622272722067,0.00533887100644935,0.660932687665286,NA,NA,NA,NA,NA,NA,NA
"death_7d_all","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR",4097,"treated:egfr30",0.293855147946177,0.162250547375759,0.532206820692494,5.31407847576088e-05
"death_7d_all","never_treated_controls","egfr_interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RD",4097,"treated:egfr30",-0.0167796768942874,-0.0256650261238326,-0.0078943276647423,0.000215826205448817
