"variant","stratum","outcome","arm","n","events","sparse_lt20"
"egfr","G1","aki1_48h","trt",498,78,FALSE
"egfr","G1","aki1_48h","ctl",498,37,FALSE
"egfr","G1","aki2_48h","trt",498,16,TRUE
"egfr","G1","aki2_48h","ctl",498,11,TRUE
"egfr","G1","aki3_48h","trt",498,3,TRUE
"egfr","G1","aki3_48h","ctl",498,2,TRUE
"egfr","G1","aki1_7d","trt",395,74,FALSE
"egfr","G1","aki1_7d","ctl",395,58,FALSE
"egfr","G1","aki2_7d","trt",395,23,FALSE
"egfr","G1","aki2_7d","ctl",395,17,TRUE
"egfr","G1","aki3_7d","trt",395,4,TRUE
"egfr","G1","aki3_7d","ctl",395,2,TRUE
"egfr","G1","aki2_rrt_48h","trt",498,17,TRUE
"egfr","G1","aki2_rrt_48h","ctl",498,16,TRUE
"egfr","G1","aki2_rrt_7d","trt",395,23,FALSE
"egfr","G1","aki2_rrt_7d","ctl",395,22,FALSE
"egfr","G1","death_48h_all","trt",529,0,TRUE
"egfr","G1","death_48h_all","ctl",529,0,TRUE
"egfr","G1","death_48h_never","trt",385,0,TRUE
"egfr","G1","death_48h_never","ctl",385,0,TRUE
"egfr","G1","death_48h_censored","trt",498,0,TRUE
"egfr","G1","death_48h_censored","ctl",498,0,TRUE
"egfr","G1","death_7d_all","trt",529,1,TRUE
"egfr","G1","death_7d_all","ctl",529,1,TRUE
"egfr","G1","death_7d_never","trt",385,1,TRUE
"egfr","G1","death_7d_never","ctl",385,1,TRUE
"egfr","G1","death_7d_censored","trt",395,1,TRUE
"egfr","G1","death_7d_censored","ctl",395,1,TRUE
"egfr","G2","aki1_48h","trt",548,115,FALSE
"egfr","G2","aki1_48h","ctl",548,94,FALSE
"egfr","G2","aki2_48h","trt",548,18,TRUE
"egfr","G2","aki2_48h","ctl",548,9,TRUE
"egfr","G2","aki3_48h","trt",548,2,TRUE
"egfr","G2","aki3_48h","ctl",548,2,TRUE
"egfr","G2","aki1_7d","trt",502,126,FALSE
"egfr","G2","aki1_7d","ctl",502,102,FALSE
"egfr","G2","aki2_7d","trt",502,27,FALSE
"egfr","G2","aki2_7d","ctl",502,29,FALSE
"egfr","G2","aki3_7d","trt",502,8,TRUE
