"db","variant","stratum","horizon","outcome","method","composition","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","pooled","Overall","48h","make","psm","AKI stage>=2 OR new RRT OR fixed-window death",140,108,FALSE,1887,0.0741918388977213,0.0572337042925278,1.32004070396738,1.01820253558356,1.71135643374924,0.0360660238057634,0.0169581346051936,0.00115253813617186,0.0327637310742153,0.0355386346562839
"EICU","pooled","Overall","48h","make","dr","AKI stage>=2 OR new RRT OR fixed-window death",140,108,FALSE,1887,0.0741918388977213,0.0572337042925278,1.4146058245563,1.08044379084235,1.85211822755581,0.0116441716358933,0.0178286491392334,0.0021866569099376,0.0334706413685292,0.0255417628839053
"EICU","pooled","Overall","48h","aki2","psm",NA,64,53,FALSE,1887,0.0339162692103869,0.0280869104398516,1.21483352132342,0.839260546107363,1.75847713963937,0.302384109060791,0.00582935877053522,-0.00523158852521764,0.0168903060662881,0.301687695555244
"EICU","pooled","Overall","48h","aki2","dr",NA,64,53,FALSE,1887,0.0339162692103869,0.0280869104398516,1.18914697523541,0.821143830326735,1.72207410746647,0.35916511986075,0.00512968735055482,-0.00590813985039166,0.0161675145515013,0.362414428417798
"EICU","pooled","Overall","48h","new_rrt","psm",NA,30,32,FALSE,1887,0.0158982511923688,0.0169581346051934,0.936490306946695,0.566664863347357,1.54767685757767,0.797949967656207,-0.00105988341282459,-0.00917312454089424,0.00705335771524505,0.797928466406342
"EICU","pooled","Overall","48h","new_rrt","dr",NA,30,32,FALSE,1887,0.0158982511923688,0.0169581346051934,1.19560825870667,0.696148733817268,2.05341048377575,0.517349688406335,0.000821950407063723,-0.00753571775795852,0.00917961857208597,0.847157443124559
"EICU","pooled","Overall","48h","death","psm",NA,61,27,FALSE,1887,0.03232644409115,0.014308426073132,2.30132651819368,1.45605633245311,3.63729316325198,0.000358622224692461,0.018018018018018,0.00840317788755401,0.0276328581484821,0.000243044565033939
"EICU","pooled","Overall","48h","death","dr",NA,61,27,FALSE,1887,0.03232644409115,0.014308426073132,2.62898202458445,1.63237890206906,4.23403321179149,7.02488903274862e-05,0.0177229446495734,0.00817118847290538,0.0272747008262415,0.000279836396567507
"EICU","pooled","Overall","7d","make","psm","AKI stage>=2 OR new RRT OR fixed-window death",215,171,FALSE,1815,0.118457300275482,0.0942148760330579,1.29188589527132,1.04471584090478,1.59753408635555,0.0180909130312115,0.0242424242424241,0.00419567827468131,0.0442891702101669,0.0178296170943513
"EICU","pooled","Overall","7d","make","dr","AKI stage>=2 OR new RRT OR fixed-window death",215,171,FALSE,1815,0.118457300275482,0.0942148760330579,1.42721483418723,1.14452712639632,1.77972381426873,0.00158498090242335,0.0302896501367023,0.0104375255733801,0.0501417747000244,0.00280398057300545
