"db","variant","stratum","horizon","outcome","method","composition","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"MIMIC","pooled","Overall","48h","make","psm","AKI stage>=2 OR new RRT OR fixed-window death",274,168,FALSE,4690,0.0584221748400853,0.0358208955223881,1.67010114734273,1.37214841874417,2.03275229140903,3.12708029902361e-07,0.0226012793176973,0.0140360114435684,0.0311665471918261,2.36540723041205e-07
"MIMIC","pooled","Overall","48h","make","dr","AKI stage>=2 OR new RRT OR fixed-window death",274,168,FALSE,4690,0.0584221748400853,0.0358208955223881,1.99090499940805,1.6279836091045,2.43473134158166,1.99542631963521e-11,0.0284424188522404,0.0199092576442557,0.036975580060225,6.78170665026826e-11
"MIMIC","pooled","Overall","48h","aki2","psm",NA,235,134,FALSE,4690,0.0501066098081023,0.0285714285714286,1.79349046012056,1.44482660636852,2.22629346411899,1.18063528668469e-07,0.0215351812366737,0.0136781120216185,0.029392250451729,7.96895920105392e-08
"MIMIC","pooled","Overall","48h","aki2","dr",NA,235,134,FALSE,4690,0.0501066098081023,0.0285714285714286,1.96949147894281,1.58615316983561,2.44547421988908,8.40892007552755e-10,0.0239519820080519,0.0161545182788893,0.0317494457372145,1.80229370967209e-09
"MIMIC","pooled","Overall","48h","new_rrt","psm",NA,37,25,FALSE,4690,0.00788912579957356,0.00533049040511727,1.48381689232724,0.891816736315911,2.46879485470403,0.128708564604207,0.00255863539445628,-0.000721042404105606,0.00583831319301817,0.126275646008772
"MIMIC","pooled","Overall","48h","new_rrt","dr",NA,37,25,FALSE,4690,0.00788912579957356,0.00533049040511727,3.18859812811778,1.91021655732369,5.32251591247902,9.17044471160912e-06,0.00542391442374784,0.00216999960292854,0.00867782924456714,0.00109045310455883
"MIMIC","pooled","Overall","48h","death","psm",NA,26,16,TRUE,4690,0.00554371002132196,0.00341151385927505,1.62848413279138,0.872392506830129,3.03987087233164,0.125691826998926,0.00213219616204689,-0.0005700463392735,0.00483443866336728,0.122009882817512
"MIMIC","pooled","Overall","48h","death","dr",NA,26,16,TRUE,4690,0.00554371002132196,0.00341151385927505,3.33977540856579,1.65991319803215,6.71968859147822,0.000723035823355187,0.00387741717003403,0.00081219218683547,0.00694264215323258,0.0131799918739009
"MIMIC","pooled","Overall","7d","make","psm","AKI stage>=2 OR new RRT OR fixed-window death",396,247,FALSE,4202,0.0942408376963351,0.0587815326035221,1.66600360338294,1.4125245877311,1.96496969369095,1.34892995535968e-09,0.0354593050928132,0.0241169089654909,0.0468017012201355,9.33038007013587e-10
"MIMIC","pooled","Overall","7d","make","dr","AKI stage>=2 OR new RRT OR fixed-window death",396,247,FALSE,4202,0.0942408376963351,0.0587815326035221,1.87879518047242,1.5854984178736,2.22634806214471,3.28210265975583e-13,0.0401946754985233,0.0290741001044355,0.0513152508926111,1.51025275837992e-12
"MIMIC","pooled","Overall","7d","aki2","psm",NA,347,202,FALSE,4202,0.0825797239409805,0.0480723465016659,1.78243503319515,1.49025338711576,2.13190231609559,2.49143842557612e-10,0.0345073774393148,0.0239657742312148,0.0450489806474148,1.4751109720759e-10
"MIMIC","pooled","Overall","7d","aki2","dr",NA,347,202,FALSE,4202,0.0825797239409805,0.0480723465016659,1.92044000629004,1.60213770001993,2.30198054618739,1.69001399605365e-12,0.0371014011095362,0.0266879352587907,0.0475148669602817,3.10625088585446e-12
"MIMIC","pooled","Overall","7d","new_rrt","psm",NA,65,25,FALSE,4202,0.0154688243693479,0.00594954783436459,2.62513850303498,1.65171519011314,4.1722399850574,4.44874192849462e-05,0.00951927653498334,0.00512213821184011,0.0139164148581266,2.22756284460085e-05
