"db","variant","stratum","horizon","method","frozen_or","rebuilt_or","frozen_rd","rebuilt_rd","pass"
"MIMIC","pooled","Overall","48h","psm",1.71914591838458,1.71914591838458,0.0221748400852878,0.0221748400852878,TRUE
"MIMIC","pooled","Overall","48h","dr",1.99314476782526,1.99314476782526,0.0267437868552647,0.0267437868552647,TRUE
"MIMIC","pooled","Overall","7d","psm",1.79754652967097,1.79754652967097,0.0368871965730604,0.0368871965730606,TRUE
"MIMIC","pooled","Overall","7d","dr",1.97805759891477,1.97805759891477,0.0403743955318633,0.0403743955318635,TRUE
"MIMIC","egfr","G1","48h","psm",1.82721316322551,1.8272131632255,0.0196866211329851,0.0196866211329851,TRUE
"MIMIC","egfr","G1","48h","dr",1.96924468266121,1.96924468266121,0.021760811976382,0.0217608119763819,TRUE
"MIMIC","egfr","G1","7d","psm",1.15302228247186,1.15302228247186,0.00736887732986561,0.00736887732986567,TRUE
"MIMIC","egfr","G1","7d","dr",1.28222562708164,1.28222562708165,0.0116071498887271,0.0116071498887272,TRUE
"MIMIC","egfr","G2","48h","psm",2.80156022405164,2.80156022405164,0.0321797207043108,0.0321797207043109,TRUE
"MIMIC","egfr","G2","48h","dr",2.78460388166232,2.78460388166232,0.0317781646114274,0.0317781646114274,TRUE
"MIMIC","egfr","G2","7d","psm",2.61797086162538,2.61797086162538,0.0534653465346535,0.0534653465346535,TRUE
"MIMIC","egfr","G2","7d","dr",2.61456401123717,2.61456401123717,0.0529213972777311,0.052921397277731,TRUE
"MIMIC","egfr","G3plus","48h","psm",1.16984687867735,1.16984687867735,0.0113268608414239,0.0113268608414239,TRUE
"MIMIC","egfr","G3plus","48h","dr",1.6153719523202,1.6153719523202,0.0281362965837708,0.0281362965837707,TRUE
"MIMIC","egfr","G3plus","7d","psm",1.3124110157138,1.3124110157138,0.0333333333333333,0.0333333333333334,TRUE
"MIMIC","egfr","G3plus","7d","dr",1.37625728844371,1.37625728844371,0.0370431223078522,0.0370431223078523,TRUE
