"db","database_role","analysis_set","variant","stratum","variable_code","variable","raw_smd","smd","raw_comparison"
"IUH","external_validation","primary","egfr","G1","age","age",0.150779581818195,0.191852689406301,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","is_female","sex",0.0246814429232433,0.0322579949820579,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","bmi","BMI",0.0471265598741462,0.14066487260091,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","surg_cabg","CABG surgery",0.303903328065398,0.0783541933436061,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","surg_valve","valve surgery",0.228827281346297,0,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","surg_combined","combined surgery",0.0564159401749595,0.0410425908108069,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","heart_failure","heart failure",0.0579688085591714,0.103108890494317,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","hypertension","hypertension",0.143524044855692,0,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","diabetes","diabetes",0.153635378346547,0.056728005853135,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","copd","COPD",0.0775795443120394,0.0133191465055013,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","pvd","peripheral vascular disease",0.077055896224699,0.144363034069353,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","stroke","stroke",0.00359687202212347,0.0262916328709819,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","liver_disease","liver disease",0.0115190395419097,0.0639579024210251,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","last_lactate","baseline (at ICU T0): lactate",0.125188303003768,0.105687696957124,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","last_lactate_missing","baseline (at ICU T0): lactate missing",0.530713632627906,0.0152984947217864,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","last_heartrate","baseline (at ICU T0): heart rate",0.276279061368217,0.223638556563496,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","last_hemoglobin","baseline (at ICU T0): hemoglobin",0.339251340677252,0.0116367103501385,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","alb_cat","baseline (at ICU T0): serum albumin category",0.658226287690108,0.295206074565905,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","vaso_at_t0","baseline (at ICU T0): vasopressor status",0.0663602575925425,0.0129800847334104,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","map_before_t0","baseline (at ICU T0): MAP",0.784497292050623,0.0195988949344639,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","vent_at_t0","baseline (at ICU T0): ventilation status",0.141943084113031,0.0622257362321065,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G1","surg_aortic","aortic surgery",0.223265977260408,0.00597743397056341,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","age","age",0.202579208670679,0.0785687034209682,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","is_female","sex",0.017104849125574,0.0477660705511601,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","bmi","BMI",0.0269806153044969,0.00361044861716408,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","surg_cabg","CABG surgery",0.312276784585082,0.0108708905258302,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","surg_valve","valve surgery",0.127232114919065,0.134600788012383,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","surg_combined","combined surgery",0.0861327248202371,0.19376549047482,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","heart_failure","heart failure",0.0306918004891247,0.0763719674524592,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","hypertension","hypertension",0.0951255433727271,0.0894404803690571,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","diabetes","diabetes",0.0816653354412126,0.131086937559871,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","copd","COPD",0.216586441193278,0.106072719725338,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","pvd","peripheral vascular disease",0.10373316416604,0.0846854918435843,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","stroke","stroke",0.0952074291302397,0.0889572489875259,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","liver_disease","liver disease",0.081166236239736,0.114367298765086,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","last_lactate","baseline (at ICU T0): lactate",0.143594650945608,0.096001656664416,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","last_lactate_missing","baseline (at ICU T0): lactate missing",0.554236982828272,0.087871624188812,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","last_heartrate","baseline (at ICU T0): heart rate",0.325695410196774,0.115899910595525,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","last_hemoglobin","baseline (at ICU T0): hemoglobin",0.435327271731404,0.111682723950759,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","alb_cat","baseline (at ICU T0): serum albumin category",0.564236330324396,0.104632145295749,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","vaso_at_t0","baseline (at ICU T0): vasopressor status",0.178482100524424,0.0580433934588225,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","map_before_t0","baseline (at ICU T0): MAP",0.580141403864277,0.042879223516843,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","vent_at_t0","baseline (at ICU T0): ventilation status",0.0244040657489342,0.0949465180450529,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G2","surg_aortic","aortic surgery",0.291759472828303,0.0240403170944138,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","age","age",0.282131257430953,0.0649217477707263,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","is_female","sex",0.123534152633414,0.167608667589923,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","bmi","BMI",0.0449317205455224,0.022466062684454,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","surg_cabg","CABG surgery",0.232984073633967,0.024691275058777,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","surg_valve","valve surgery",0.0696953292641344,0.0974743420234769,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","surg_combined","combined surgery",0.111097670841087,0.190972276534266,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","heart_failure","heart failure",0.172868886412317,0.104604104644208,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","hypertension","hypertension",0.180466441122505,0.131377424553282,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","diabetes","diabetes",0.017913319731273,0.240202587651154,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","copd","COPD",0.218232024748714,0.133171334813267,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","pvd","peripheral vascular disease",0.0992042895211343,0.0589730382609291,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","stroke","stroke",0.0796887906888581,0.0803359884615562,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","liver_disease","liver disease",0.0891250654962905,0.0374375170037273,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","last_lactate","baseline (at ICU T0): lactate",0.199042227281609,0.386860411117255,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","last_lactate_missing","baseline (at ICU T0): lactate missing",0.536006563658759,0.0868693636424418,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","last_heartrate","baseline (at ICU T0): heart rate",0.314578814183618,0.037554219928293,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","last_hemoglobin","baseline (at ICU T0): hemoglobin",0.410329253679565,0.053794781571467,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","alb_cat","baseline (at ICU T0): serum albumin category",0.633958768859703,0.162825100202661,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","vaso_at_t0","baseline (at ICU T0): vasopressor status",0.100467135393913,0.0520470927599615,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","map_before_t0","baseline (at ICU T0): MAP",0.403904692112349,0.00873278770404657,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","vent_at_t0","baseline (at ICU T0): ventilation status",0.152267995057623,0.199770896909322,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr","G3plus","surg_aortic","aortic surgery",0.182039672401962,0.0904261585236632,"eligible ever-treated vs never-treated source cohort"
