"db","database_role","analysis_set","variant","stratum","variable_code","variable","raw_smd","smd","raw_comparison"
"IUH","external_validation","primary","egfr_reported","G1","age","age",0.146401164269355,0.237812089435902,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","is_female","sex",0.0697426550355169,0.113461652369616,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","bmi","BMI",0.0451059119641455,0.0922811230472811,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","surg_cabg","CABG surgery",0.297912254805139,0.0910459154334095,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","surg_valve","valve surgery",0.207201641993591,0.0347075383248534,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","surg_combined","combined surgery",0.0706166436726858,0.101805672689698,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","heart_failure","heart failure",0.0643533551364841,0.113426839425428,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","hypertension","hypertension",0.122903095641244,0.00873415564103178,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","diabetes","diabetes",0.142575867413126,0.0415424104300371,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","copd","COPD",0.0970914000352251,0.0713349896715942,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","pvd","peripheral vascular disease",0.0681952449921718,0.00737665538017762,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","stroke","stroke",0.0124616878515316,0.0114876247866916,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","liver_disease","liver disease",0.0193039523044982,0.0465774380461443,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","last_lactate","baseline (at ICU T0): lactate",0.0934134458219252,0.00662373827636615,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","egfr_reported","G1","last_lactate_missing","baseline (at ICU T0): lactate missing",0.556910274957527,0.126794532522758,"eligible ever-treated vs never-treated source cohort"
