"db","database_role","analysis_set","variant","stratum","variable_code","variable","raw_smd","smd","raw_comparison"
"EICU","supplementary","primary","pooled","Overall","age","age",0.0694852387881654,0.0570080844028371,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","is_female","sex",0.117324049238553,0.0183637071279626,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","bmi","BMI",0.016744651669913,0.0334886926096196,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","surg_cabg","CABG surgery",0.391776156379516,0.0193273941756521,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","surg_valve","valve surgery",0.171327388227095,0.0278663788406656,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","surg_combined","combined surgery",0.145863592656476,0.0100159809891435,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","heart_failure","heart failure",0.079303752940958,0.0465310062641595,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","hypertension","hypertension",0.171670395234277,0.0294299153204084,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","diabetes","diabetes",0.0676404148682662,0.0123570736505519,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","copd","COPD",0.0656752566138099,0.0203758945143375,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","pvd","peripheral vascular disease",0.0453837113590286,0.028785486075935,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","stroke","stroke",0.0209031510597457,0.0699194200095539,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","liver_disease","liver disease",0.0356121306308478,0.0191800675040877,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","egfr","baseline (at ICU T0): eGFR",0.06650123533175,0.201324411654624,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","last_lactate","baseline (at ICU T0): lactate",0.343900006338605,0.25057096373871,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","last_lactate_missing","baseline (at ICU T0): lactate missing",0.33869497804672,0.073144160559995,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","last_heartrate","baseline (at ICU T0): heart rate",0.142315078199142,0.0174810147932332,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","last_hemoglobin","baseline (at ICU T0): hemoglobin",0.0393328338395577,0.0632160071975784,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","alb_cat","baseline (at ICU T0): serum albumin category",0.55650568529318,0.114489290770756,"eligible ever-treated vs never-treated source cohort"
"EICU","supplementary","primary","pooled","Overall","surg_aortic","aortic surgery",0.160549908826495,0.0159405360821132,"eligible ever-treated vs never-treated source cohort"
