"db","database_role","analysis_set","variant","stratum","variable_code","variable","raw_smd","smd","raw_comparison"
"IUH","external_validation","primary","pooled","Overall","age","age",0.275868086612485,0.10528005637569,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","is_female","sex",0.0436882886331911,0.0292394873746383,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","bmi","BMI",0.0109494108132525,0.0342322351994575,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","surg_cabg","CABG surgery",0.314506463213099,0.0197126951067844,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","surg_valve","valve surgery",0.167005364035078,0.0464269451757129,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","surg_combined","combined surgery",0.0947631115995969,0.00243124097902142,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","heart_failure","heart failure",0.111200367101229,0.0975916355254154,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","hypertension","hypertension",0.18550688079658,0.092802081625048,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","diabetes","diabetes",0.144787110519335,0.037522024026866,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","copd","COPD",0.179781389464924,0.00790528961879446,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","pvd","peripheral vascular disease",0.026813616197554,0.103048415094174,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","stroke","stroke",0.0807081243437676,0.0125145433795712,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","liver_disease","liver disease",0.0455163772147655,0.0223258960044921,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","egfr","baseline (at ICU T0): eGFR",0.309002731578,0.246947535333684,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","last_lactate","baseline (at ICU T0): lactate",0.14718627119605,0.0385253130655408,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","last_lactate_missing","baseline (at ICU T0): lactate missing",0.553659615221653,0.0817136458307707,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","last_heartrate","baseline (at ICU T0): heart rate",0.285451036061615,0.107360195708212,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","last_hemoglobin","baseline (at ICU T0): hemoglobin",0.468572859841915,0.00638095761629729,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","alb_cat","baseline (at ICU T0): serum albumin category",0.613856156679244,0.16102399107569,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","vaso_at_t0","baseline (at ICU T0): vasopressor status",0.124023103066058,0.102292762213609,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","map_before_t0","baseline (at ICU T0): MAP",0.661820380692248,0.0526102094468238,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","vent_at_t0","baseline (at ICU T0): ventilation status",0.024665447290867,0.0445409500646427,"eligible ever-treated vs never-treated source cohort"
"IUH","external_validation","primary","pooled","Overall","surg_aortic","aortic surgery",0.239673364174566,0.0498943958613701,"eligible ever-treated vs never-treated source cohort"
