"db","database_role","analysis_set","variant","stratum","variable_code","variable","raw_smd","smd","raw_comparison"
"MIMIC","primary","primary","pooled","Overall","age","age",0.15302223721552,0.0204519207725043,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","is_female","sex",0.0185848873755447,0.010604746272367,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","bmi","BMI",0.0334210614700415,0.0154736376675281,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","surg_cabg","CABG surgery",0.131430431179114,0.0161280126526416,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","surg_valve","valve surgery",0.215937695425509,0.0127271210535959,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","surg_combined","combined surgery",0.254767703020213,0.018016138133349,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","heart_failure","heart failure",0.0800207800873662,0.10240187419665,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","hypertension","hypertension",0.0331161777655307,0.0350977666734577,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","diabetes","diabetes",0.0280899738879813,0.0443627532647165,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","copd","COPD",0.0249288397835532,0.0141632568853244,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","pvd","peripheral vascular disease",0.00860273898575952,0.0159724928202956,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","stroke","stroke",0.0235207210840019,0.0807116686074901,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","liver_disease","liver disease",0.0788906085705604,0.0864993252314188,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","egfr","baseline (at ICU T0): eGFR",0.135016935028696,0.229134689838469,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","last_lactate","baseline (at ICU T0): lactate",0.117654573822334,0.0182049731918746,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","last_lactate_missing","baseline (at ICU T0): lactate missing",0.99795945316218,0.0415811532184765,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","last_heartrate","baseline (at ICU T0): heart rate",0.250325012568294,0.0795512439810277,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","last_hemoglobin","baseline (at ICU T0): hemoglobin",0.673295845233769,0.138709563640036,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","alb_cat","baseline (at ICU T0): serum albumin category",0.225492786288061,0.270902822581437,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","vaso_at_t0","baseline (at ICU T0): vasopressor status",0.702194323495083,0.0134574884593614,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","map_before_t0","baseline (at ICU T0): MAP",0.56783841918362,0.00841549521346703,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","vent_at_t0","baseline (at ICU T0): ventilation status",0.336925939287159,0.039111481279614,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","primary","pooled","Overall","surg_aortic","aortic surgery",0.113390116912995,0.0332183108784204,"eligible ever-treated vs never-treated source cohort"
