"db","database_role","analysis_set","variant","stratum","variable_code","variable","raw_smd","smd","raw_comparison"
"MIMIC","primary","s2_no_aortic","pooled","Overall","age","age",0.15302223721552,0.00685445154911434,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","is_female","sex",0.0185848873755447,0.0328629552459901,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","bmi","BMI",0.0484157337178366,0.0163852870772359,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","surg_cabg","CABG surgery",0.131430431179114,0.000450449469620473,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","surg_valve","valve surgery",0.215937695425509,0.0412871372583439,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","surg_combined","combined surgery",0.254767703020213,0.0445957411593351,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","heart_failure","heart failure",0.0800207800873662,0.121037160391756,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","hypertension","hypertension",0.0331161777655307,0.0363988897309143,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","diabetes","diabetes",0.0280899738879813,0.020894517298417,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","copd","COPD",0.0249288397835532,0.0424874355682112,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","pvd","peripheral vascular disease",0.00860273898575952,0.0232539135031178,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","stroke","stroke",0.0235207210840019,0.0777029059264669,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","liver_disease","liver disease",0.0788906085705604,0.0688527238783764,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","egfr","baseline (at ICU T0): eGFR",0.135016935028696,0.251133542868889,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","last_lactate","baseline (at ICU T0): lactate",0.0952269356125239,0.0371841716650265,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","last_lactate_missing","baseline (at ICU T0): lactate missing",0.99795945316218,0.0279260768899226,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","last_heartrate","baseline (at ICU T0): heart rate",0.253167744480383,0.0837687467192945,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","last_hemoglobin","baseline (at ICU T0): hemoglobin",0.696785147316325,0.175696972121097,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","alb_cat","baseline (at ICU T0): serum albumin category",0.225492786288061,0.263317698312185,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","vaso_at_t0","baseline (at ICU T0): vasopressor status",0.702194323495083,0.00411527219065569,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","map_before_t0","baseline (at ICU T0): MAP",0.572179779905586,0.00832197160272094,"eligible ever-treated vs never-treated source cohort"
"MIMIC","primary","s2_no_aortic","pooled","Overall","vent_at_t0","baseline (at ICU T0): ventilation status",0.336925939287159,0.0648806333694659,"eligible ever-treated vs never-treated source cohort"
