"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"EICU","aki1_48h","OR",30,1887,454,422,1.9956122086751,1.36964236901153,2.90767004403293,0.000320764840408443,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",32,1887,454,422,1.97612121687307,1.40188269712838,2.78557904436302,0.000100832627605941,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",34,1887,454,422,1.95406692077809,1.42573350428343,2.67818461122456,3.10871426698558e-05,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",36,1887,454,422,1.92936983476602,1.44014102444613,2.58479405566318,1.06040584361135e-05,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",38,1887,454,422,1.90196933781404,1.44450235685436,2.5043139215518,4.65042780411245e-06,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",40,1887,454,422,1.87182520384663,1.43885057482,2.4350892685252,2.99991154170962e-06,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",42,1887,454,422,1.83891899498045,1.42392507788673,2.37486025256232,3.0358085014318e-06,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",44,1887,454,422,1.80325527857301,1.40106672161713,2.32089560727574,4.6677466309901e-06,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",46,1887,454,422,1.76486262923756,1.37196804290769,2.27027161177755,9.80696092115846e-06,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",48,1887,454,422,1.72379437824428,1.33838458503477,2.22018924283215,2.47134165601745e-05,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",50,1887,454,422,1.68012907506901,1.30190930416289,2.1682260813915,6.6751752775548e-05,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",52,1887,454,422,1.63397062932974,1.26385031666368,2.11248118729768,0.00017905096271227,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",54,1887,454,422,1.58544810598824,1.22519599698471,2.05162741550572,0.000457747969203847,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",56,1887,454,422,1.53471515247303,1.1866302194052,1.98490697498917,0.00109902360115769,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",58,1887,454,422,1.4819490432383,1.14856470796813,1.91210207968174,0.00248389196387303,"G3plus_lt60",FALSE
"EICU","aki1_48h","OR",60,1887,454,422,1.42734933510433,1.11116694195576,1.83350138264273,0.00535157227614593,"G2_60_89",FALSE
"EICU","aki1_48h","OR",62,1887,454,422,1.37124943120074,1.07437690760893,1.75015396296361,0.0112023366812083,"G2_60_89",FALSE
"EICU","aki1_48h","OR",64,1887,454,422,1.31441654408091,1.03796320002852,1.66450106449451,0.0232515159213022,"G2_60_89",FALSE
"EICU","aki1_48h","OR",66,1887,454,422,1.25764198079196,1.00160853084345,1.57912328334346,0.0484000536040754,"G2_60_89",FALSE
