"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"IUH","aki1_48h","OR",30,1235,293,301,5.3732977765416,2.23841461503079,12.8985616880409,0.000167531077847546,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",32,1235,293,301,4.77047753122517,2.17249360000295,10.4752694672579,9.8869540863654e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",34,1235,293,301,4.24513901670101,2.10035739844527,8.58006608039991,5.64756444922651e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",36,1235,293,301,3.78699005776738,2.02166109946377,7.0938169119606,3.20815369017931e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",38,1235,293,301,3.38712846764076,1.93613290053173,5.92554325849825,1.90828426803634e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",40,1235,293,301,3.03785820300443,1.84367688796152,5.00553134978278,1.29450544135202e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",42,1235,293,301,2.73252864675583,1.74454950305713,4.28002346293796,1.12983722918843e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",44,1235,293,301,2.46539444896398,1.63960762215739,3.70708802938155,1.45135404143189e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",46,1235,293,301,2.23149356554846,1.53055606200708,3.25343426267853,3.01149529282543e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",48,1235,293,301,2.02654134576397,1.42002671378655,2.89210744151406,9.91920315660891e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",50,1235,293,301,1.84683872750764,1.31131383895649,2.60106557567965,0.00044601025882739,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",52,1235,293,301,1.68919279937171,1.20778217985557,2.36248916488439,0.00219125263515314,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",54,1235,293,301,1.55084817731219,1.11222640760602,2.16244647009362,0.0096786650522635,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",56,1235,293,301,1.42942782001279,1.02649306856471,1.99052867983172,0.0344490127308996,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",58,1235,293,301,1.32288206959913,0.951451746731669,1.83931237299038,0.0961042815652739,"G3plus_lt60",FALSE
"IUH","aki1_48h","OR",60,1235,293,301,1.22944485308509,0.887189843338188,1.70373303766649,0.21463348568398,"G2_60_89",FALSE
"IUH","aki1_48h","OR",62,1235,293,301,1.14755450085644,0.833125989074506,1.58065088558666,0.399526504039979,"G2_60_89",FALSE
"IUH","aki1_48h","OR",64,1235,293,301,1.07571756155619,0.787870124171364,1.46872972681562,0.645959343248377,"G2_60_89",FALSE
"IUH","aki1_48h","OR",66,1235,293,301,1.01263385956684,0.749888234748278,1.36744022112234,0.934711280042268,"G2_60_89",FALSE
"IUH","aki1_48h","OR",68,1235,293,301,0.957203893629164,0.717727225747094,1.27658428036515,0.765899437000516,"G2_60_89",FALSE
"IUH","aki1_48h","OR",70,1235,293,301,0.908495689871616,0.690038107319676,1.19611425769118,0.494062332706527,"G2_60_89",FALSE
"IUH","aki1_48h","OR",72,1235,293,301,0.86571763928174,0.665589385511329,1.12602010680772,0.282335916890724,"G2_60_89",FALSE
"IUH","aki1_48h","OR",74,1235,293,301,0.828196173820556,0.643298877077417,1.0662367474465,0.143622300390408,"G2_60_89",FALSE
"IUH","aki1_48h","OR",76,1235,293,301,0.795357367886084,0.622297642917682,1.01654465487725,0.067410798809747,"G2_60_89",FALSE
"IUH","aki1_48h","OR",78,1235,293,301,0.766711734834731,0.602014400063619,0.976466483644182,0.0313173750792036,"G2_60_89",FALSE
"IUH","aki1_48h","OR",80,1235,293,301,0.741841632780905,0.582237106818644,0.945197414733748,0.0156922711639847,"G2_60_89",FALSE
"IUH","aki1_48h","OR",82,1235,293,301,0.720390808379924,0.563100030196517,0.921617632691596,0.00906863543921612,"G2_60_89",FALSE
"IUH","aki1_48h","OR",84,1235,293,301,0.702055698284103,0.544983891482141,0.904397746789788,0.00618741756108192,"G2_60_89",FALSE
"IUH","aki1_48h","OR",86,1235,293,301,0.686578180496059,0.528373283164362,0.8921525992196,0.00489325691201622,"G2_60_89",FALSE
"IUH","aki1_48h","OR",88,1235,293,301,0.673739525845672,0.513731771371146,0.883583562440042,0.00430789817501431,"G2_60_89",FALSE
"IUH","aki1_48h","OR",90,1235,293,301,0.6633553463385,0.501424170212604,0.877580981645329,0.00404584843730452,"G1_ge90",FALSE
"IUH","aki1_48h","OR",92,1235,293,301,0.655272780412234,0.491632059434749,0.873381644888781,0.00393243353258576,"G1_ge90",FALSE
"IUH","aki1_48h","OR",94,1235,293,301,0.649371083948666,0.48419749096434,0.870890106904171,0.00393744325550769,"G1_ge90",FALSE
"IUH","aki1_48h","OR",96,1235,293,301,0.645554414543486,0.478773054573304,0.870434328239282,0.0041050631860274,"G1_ge90",FALSE
"IUH","aki1_48h","OR",98,1235,293,301,0.643748195218214,0.474890790885642,0.872646399551895,0.00454471878394953,"G1_ge90",FALSE
"IUH","aki1_48h","OR",100,1235,293,301,0.643897325786325,0.471977608832063,0.878439481865979,0.0054718974551436,"G1_ge90",FALSE
"IUH","aki1_48h","OR",102,1235,293,301,0.645964742227981,0.469379220660643,0.88898364016703,0.00731240511443302,"G1_ge90",FALSE
"IUH","aki1_48h","OR",104,1235,293,301,0.649930279730505,0.466407899951945,0.905665123927134,0.0109181335685222,"G1_ge90",FALSE
"IUH","aki1_48h","OR",106,1235,293,301,0.655789803203825,0.462417477546179,0.930025976241704,0.0179344130885754,"G1_ge90",FALSE
"IUH","aki1_48h","OR",108,1235,293,301,0.663554575879932,0.456889326192434,0.963700944472814,0.0312245026706335,"G1_ge90",FALSE
"IUH","aki1_48h","OR",110,1235,293,301,0.67325084230513,0.449498028273646,1.00838417112839,0.0549220301259548,"G1_ge90",FALSE
"IUH","aki1_48h","OR",112,1235,293,301,0.684919606836341,0.440130825721839,1.06585324274771,0.0934758765741942,"G1_ge90",FALSE
"IUH","aki1_48h","OR",114,1235,293,301,0.698616592822173,0.428859190764455,1.13805452763288,0.149705994125388,"G1_ge90",FALSE
"IUH","aki1_48h","OR",116,1235,293,301,0.714412371118089,0.415882976826988,1.22723233324094,0.223131743074437,"G1_ge90",FALSE
"IUH","aki1_48h","OR",118,1235,293,301,0.732392649560067,0.401471908528802,1.33608101023869,0.309929386452545,"G1_ge90",FALSE
"IUH","aki1_48h","OR",120,1235,293,301,0.752658717588652,0.385919573264496,1.4679098558547,0.404430073631343,"G1_ge90",FALSE
"IUH","aki1_48h","RD",30,1235,293,301,0.388750286097669,0.213859274391197,0.56364129780414,1.3202808046994e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",32,1235,293,301,0.359731509022921,0.201508475612763,0.517954542433078,8.34245284206506e-06,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",34,1235,293,301,0.331391798255338,0.188745449723692,0.474038146786984,5.27821770613967e-06,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",36,1235,293,301,0.303773595439118,0.175500677610579,0.432046513267657,3.45660691691225e-06,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",38,1235,293,301,0.27691934221846,0.161695318221031,0.392143366215889,2.47118790154352e-06,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",40,1235,293,301,0.25087148023756,0.147245661892227,0.354497298582894,2.08470621041941e-06,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",42,1235,293,301,0.225672451140618,0.132073872850913,0.319271029430323,2.29333612733953e-06,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",44,1235,293,301,0.20136469657183,0.116127938936557,0.286601454207103,3.65073295182469e-06,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",46,1235,293,301,0.177990658175395,0.0994113690821773,0.256569947268612,9.01204847373958e-06,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",48,1235,293,301,0.15559277759551,0.0820167059407307,0.229168849250288,3.40034942105965e-05,"G3plus_lt60",FALSE
"IUH","aki1_48h","RD",50,1235,293,301,0.134213496476373,0.0641486610194221,0.204278331933323,0.000173687564328867,"G3plus_lt60",FALSE
