"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"MIMIC","aki1_48h","OR",30,4690,1658,1180,8.74537907746653,5.65707369471916,13.5196497934938,1.72258240899374e-22,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",32,4690,1658,1180,8.14465306974335,5.49926616546417,12.0625864670947,1.22640256737261e-25,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",34,4690,1658,1180,7.58787502821585,5.32889202657854,10.8044687632353,2.6161598811842e-29,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",36,4690,1658,1180,7.07181645056084,5.1455344262715,9.71922132229538,1.78106347495735e-33,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",38,4690,1658,1180,6.59347893785881,4.94906198675181,8.78428369261966,5.41083762912159e-38,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",40,4690,1658,1180,6.15007909116497,4.73985609146344,7.97987789032356,1.54955852460566e-42,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",42,4690,1658,1180,5.73903422807245,4.5191181517112,7.28826128578106,1.40487059164116e-46,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",44,4690,1658,1180,5.35794889655507,4.28917594054086,6.69303772474197,1.76401985009554e-49,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",46,4690,1658,1180,5.00460216094525,4.05361389594459,6.17869472334181,1.04451853873211e-50,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",48,4690,1658,1180,4.67693563301978,3.81703866830407,5.73054894545481,4.30419248770716e-50,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",50,4690,1658,1180,4.37304221976791,3.58445728287166,5.33511679641276,6.47081835008032e-48,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",52,4690,1658,1180,4.09115555844426,3.36050146541763,4.98067147883515,9.45538562824567e-45,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",54,4690,1658,1180,3.82964010890707,3.14882650974613,4.65765367458501,3.27290455279296e-41,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",56,4690,1658,1180,3.58698187296279,2.95185960500351,4.3587570815206,8.9645676702778e-38,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",58,4690,1658,1180,3.36177971043334,2.77085391928049,4.07872921154066,9.86362535433721e-35,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","OR",60,4690,1658,1180,3.15273722189293,2.60610027076564,3.81403282974564,3.09746289240538e-32,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",62,4690,1658,1180,2.9586512646672,2.45698301207638,3.56275043941766,2.55296579264166e-30,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",64,4690,1658,1180,2.77839507185126,2.32172768067401,3.32488570453119,6.8290861630569e-29,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",66,4690,1658,1180,2.61092624442033,2.19827879676677,3.10103334655695,7.90620224775528e-28,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",68,4690,1658,1180,2.45528410782799,2.08463504860302,2.89183473826392,5.42545763238508e-27,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",70,4690,1658,1180,2.31058319814574,1.97892554758585,2.69782494953706,3.17654924971496e-26,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",72,4690,1658,1180,2.17600726907986,1.87946693576187,2.51933542697254,2.43575882432499e-25,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",74,4690,1658,1180,2.05080377886028,1.78482913148864,2.35641388029102,3.89504441564838e-24,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",76,4690,1658,1180,1.93427881910914,1.69392165227482,2.20874120419311,1.93303062697264e-22,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",78,4690,1658,1180,1.8257924506911,1.60608669020199,2.07555301549842,3.48127226568889e-20,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",80,4690,1658,1180,1.72475441423458,1.52115334909099,1.95560677113804,1.8155550683707e-17,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",82,4690,1658,1180,1.63062018550753,1.43939734466142,1.8472468351052,1.55245696242933e-14,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",84,4690,1658,1180,1.54288734814433,1.36139055915105,1.74858078239377,1.10874982758215e-11,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",86,4690,1658,1180,1.46109225836359,1.28779192247398,1.65771391340061,3.94462298538728e-09,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",88,4690,1658,1180,1.38480697830251,1.21915918899435,1.57296141838309,5.4812182004852e-07,"G2_60_89",FALSE
"MIMIC","aki1_48h","OR",90,4690,1658,1180,1.31363645643017,1.15582708876856,1.49299212350261,2.94352897129194e-05,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",92,4690,1658,1180,1.24720967369354,1.09777913945607,1.41698080628996,0.000691952101207266,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",94,4690,1658,1180,1.18516096686616,1.04443887139028,1.3448432032345,0.00843313292536183,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",96,4690,1658,1180,1.12715042984258,0.994916646120626,1.27695932764631,0.0601142614926494,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",98,4690,1658,1180,1.07286771476607,0.948127440226568,1.21401942877249,0.264707492923893,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",100,4690,1658,1180,1.02202920881309,0.902858681332262,1.15692934593681,0.73048443761061,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",102,4690,1658,1180,0.974375502470488,0.857918123980662,1.10664129044092,0.689367899484064,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",104,4690,1658,1180,0.929669117135432,0.812383905544949,1.06388698921307,0.289181820071786,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",106,4690,1658,1180,0.887692463633084,0.765850511299966,1.02891869674855,0.113756680573578,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",108,4690,1658,1180,0.848246006548039,0.718483058570942,1.00144502927573,0.0520217820011529,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",110,4690,1658,1180,0.811146612161943,0.670834488633691,0.980806499322782,0.0307727934135919,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",112,4690,1658,1180,0.776226060333918,0.623584295737457,0.966231672061212,0.0233599557424082,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",114,4690,1658,1180,0.743329702897265,0.57735576698882,0.957016589772863,0.0214033801861104,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",116,4690,1658,1180,0.712315253114205,0.532641796923456,0.952597078843346,0.0221688441669902,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",118,4690,1658,1180,0.683051692464194,0.48979823393724,0.952554709778685,0.0246743369438673,"G1_ge90",FALSE
"MIMIC","aki1_48h","OR",120,4690,1658,1180,0.655418282569743,0.449063758225125,0.956597180820183,0.0285231127265347,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",30,4690,1658,1180,0.493064035477595,0.41156686405409,0.574561206901099,1.9524629212418e-32,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",32,4690,1658,1180,0.47653345230237,0.40283978309824,0.5502271215065,8.22318815111779e-37,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",34,4690,1658,1180,0.460076731597238,0.393473726737468,0.526679736457009,9.18019636789101e-42,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",36,4690,1658,1180,0.443698489766581,0.383398472376128,0.503998507157033,3.76080774897798e-47,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",38,4690,1658,1180,0.427403343214778,0.372546578727903,0.482260107701653,1.19566028413514e-52,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",40,4690,1658,1180,0.411195908346211,0.360864363795148,0.461527452897274,1.04186796566908e-57,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",42,4690,1658,1180,0.39508080156526,0.348328024864414,0.441833578266107,1.29359985757599e-61,"G3plus_lt60",FALSE
"MIMIC","aki1_48h","RD",44,4690,1658,1180,0.379062639276307,0.33496165174006,0.423163626812555,1.10651547089516e-63,"G3plus_lt60",FALSE
