"db","sampling_scheme","outcome","method","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","native","aki1_48h","psm",454,422,FALSE,1887,0.240593534711182,0.223635400105988,1.09985348736577,0.94545879073367,1.27946104634762,0.217474933165104,0.0169581346051935,-0.00998275707140083,0.0438990262817878,0.217378218771204
"EICU","native","aki1_48h","dr",454,422,FALSE,1887,0.240593534711182,0.223635400105988,1.2386640589769,1.05712116978071,1.45138390457113,0.00812121901189931,0.0338616543132497,0.0072389557759459,0.0604843528505535,0.0127115602007338
"EICU","native","aki2_48h","psm",64,53,FALSE,1887,0.0339162692103869,0.0280869104398516,1.21483352132342,0.839260546107363,1.75847713963937,0.302384109060791,0.00582935877053522,-0.00523158852521764,0.0168903060662881,0.301687695555244
"EICU","native","aki2_48h","dr",64,53,FALSE,1887,0.0339162692103869,0.0280869104398516,1.18914697523541,0.821143830326735,1.72207410746647,0.35916511986075,0.00512968735055482,-0.00590813985039166,0.0161675145515013,0.362414428417798
"EICU","native","aki1_7d","psm",485,442,FALSE,1815,0.267217630853994,0.243526170798898,1.13276120164668,0.975592647644244,1.31524970289028,0.101890808578559,0.0236914600550966,-0.00467782529196177,0.0520607454021549,0.101755936296649
"EICU","native","aki1_7d","dr",485,442,FALSE,1815,0.267217630853994,0.243526170798898,1.24156865964193,1.06370152874456,1.44917788961385,0.00609149980990763,0.0380006752370483,0.0098416999064654,0.0661596505676312,0.00820363083552154
"EICU","native","aki2_7d","psm",104,88,FALSE,1815,0.0573002754820937,0.0484848484848485,1.19286965600923,0.891033221590499,1.59695282033102,0.236067893235359,0.00881542699724516,-0.00574805161768731,0.0233789056121776,0.235538645982769
"EICU","native","aki2_7d","dr",104,88,FALSE,1815,0.0573002754820937,0.0484848484848485,1.22565873326918,0.915149832962769,1.64152281553235,0.172211560228684,0.0101541422019013,-0.00443451088752055,0.0247427952913231,0.172583341097058
"EICU","daily_peak","aki1_48h","psm",454,422,FALSE,1887,0.240593534711182,0.223635400105988,1.09985348736577,0.94545879073367,1.27946104634762,0.217474933165104,0.0169581346051935,-0.00998275707140083,0.0438990262817878,0.217378218771204
"EICU","daily_peak","aki1_48h","dr",454,422,FALSE,1887,0.240593534711182,0.223635400105988,1.2386640589769,1.05712116978071,1.45138390457113,0.00812121901189931,0.0338616543132497,0.0072389557759459,0.0604843528505535,0.0127115602007338
"EICU","daily_peak","aki2_48h","psm",64,53,FALSE,1887,0.0339162692103869,0.0280869104398516,1.21483352132342,0.839260546107363,1.75847713963937,0.302384109060791,0.00582935877053522,-0.00523158852521764,0.0168903060662881,0.301687695555244
"EICU","daily_peak","aki2_48h","dr",64,53,FALSE,1887,0.0339162692103869,0.0280869104398516,1.18914697523541,0.821143830326735,1.72207410746647,0.35916511986075,0.00512968735055482,-0.00590813985039166,0.0161675145515013,0.362414428417798
"EICU","daily_peak","aki1_7d","psm",485,442,FALSE,1815,0.267217630853994,0.243526170798898,1.13276120164668,0.975592647644244,1.31524970289028,0.101890808578559,0.0236914600550966,-0.00467782529196177,0.0520607454021549,0.101755936296649
"EICU","daily_peak","aki1_7d","dr",485,442,FALSE,1815,0.267217630853994,0.243526170798898,1.24156865964193,1.06370152874456,1.44917788961385,0.00609149980990763,0.0380006752370483,0.0098416999064654,0.0661596505676312,0.00820363083552154
"EICU","daily_peak","aki2_7d","psm",104,88,FALSE,1815,0.0573002754820937,0.0484848484848485,1.19286965600923,0.891033221590499,1.59695282033102,0.236067893235359,0.00881542699724516,-0.00574805161768731,0.0233789056121776,0.235538645982769
"EICU","daily_peak","aki2_7d","dr",104,88,FALSE,1815,0.0573002754820937,0.0484848484848485,1.22565873326918,0.915149832962769,1.64152281553235,0.172211560228684,0.0101541422019013,-0.00443451088752055,0.0247427952913231,0.172583341097058
"EICU","both_members_ge3_cr","aki1_48h","psm",78,66,FALSE,199,0.391959798994975,0.331658291457286,1.29902329075854,0.861216340537251,1.95939327960319,0.212204747942029,0.0603015075376884,-0.0341691435748034,0.15477215865018,0.211641544499253
"EICU","both_members_ge3_cr","aki1_48h","dr",78,66,FALSE,199,0.391959798994975,0.331658291457286,1.46777175671436,0.949580459205315,2.26874290527344,0.0841403170549943,0.0806192192782411,-0.0119156646324879,0.17315410318897,0.0885001441867368
"EICU","both_members_ge3_cr","aki2_48h","psm",12,11,TRUE,199,0.0603015075376884,0.0552763819095477,1.09674282842621,0.471139135613136,2.55305649813819,0.830383615934103,0.0050251256281407,-0.0409380234505862,0.0509882747068676,0.83043455439512
"EICU","both_members_ge3_cr","aki2_48h","dr",12,11,TRUE,199,0.0603015075376884,0.0552763819095477,1.07199254104554,0.468715738507099,2.45173761759627,0.869175573737123,0.00360487084460171,-0.0413848455388342,0.0485945872280376,0.875287841778174
"EICU","both_members_ge3_cr","aki1_7d","psm",360,347,FALSE,1208,0.298013245033113,0.287251655629139,1.05336849545914,0.883918347691048,1.25530281176343,0.561207477417785,0.0107615894039734,-0.0255354219999335,0.0470586008078804,0.561217618696778
