"db","sampling_scheme","outcome","method","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","native","aki1_48h","psm",293,301,FALSE,1235,0.237246963562753,0.243724696356275,0.965155074027522,0.802431334596855,1.16087729473959,0.706559613973237,-0.00647773279352413,-0.0401997622829924,0.0272442966959442,0.706577311498847
"IUH","native","aki1_48h","dr",293,301,FALSE,1235,0.237246963562753,0.243724696356275,1.21349126193138,0.993303081805279,1.48248915135499,0.0581955308818266,0.0251828653148802,-0.0069185062877921,0.0572842369175526,0.124279976762482
"IUH","native","aki2_48h","psm",46,49,FALSE,1235,0.037246963562753,0.0396761133603239,0.936406858790657,0.621128949366315,1.41171620817991,0.753739986588571,-0.00242914979757073,-0.017603198851739,0.0127448992565975,0.753723637914188
"IUH","native","aki2_48h","dr",46,49,FALSE,1235,0.037246963562753,0.0396761133603239,1.08470036728669,0.709690463299307,1.65787050501151,0.707188737918612,0.00254743721503294,-0.0128891125170301,0.017983986947096,0.746380727326674
"IUH","native","aki1_7d","psm",288,295,FALSE,1069,0.269410664172124,0.275958840037418,0.967520996549695,0.79972750273517,1.1705198027615,0.734026106625618,-0.00654817586529656,-0.0443197843009036,0.0312234325703105,0.734047889942794
"IUH","native","aki1_7d","dr",288,295,FALSE,1069,0.269410664172124,0.275958840037418,1.13693009283991,0.92605968814533,1.39581719467104,0.220165013265756,0.0197422164231354,-0.016883745295733,0.0563681781420038,0.290866991298858
"IUH","native","aki2_7d","psm",68,67,FALSE,1069,0.0636108512628625,0.0626753975678204,1.01593928457088,0.716825711803725,1.4398655251041,0.929179637211524,0.000935453695042099,-0.0196938370999734,0.0215647444900576,0.929187233125212
"IUH","native","aki2_7d","dr",68,67,FALSE,1069,0.0636108512628625,0.0626753975678204,1.08264837472973,0.744499334782367,1.57438354682688,0.677661354365661,0.00383710761054941,-0.0173229619763247,0.0249971771974235,0.72230950466915
"IUH","daily_peak","aki1_48h","psm",293,301,FALSE,1235,0.237246963562753,0.243724696356275,0.965155074027522,0.802431334596855,1.16087729473959,0.706559613973237,-0.00647773279352413,-0.0401997622829924,0.0272442966959442,0.706577311498847
"IUH","daily_peak","aki1_48h","dr",293,301,FALSE,1235,0.237246963562753,0.243724696356275,1.21349126193138,0.993303081805279,1.48248915135499,0.0581955308818266,0.0251828653148802,-0.0069185062877921,0.0572842369175526,0.124279976762482
