"db","sampling_scheme","outcome","method","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"MIMIC","native","aki1_48h","psm",1658,1180,FALSE,4690,0.353518123667377,0.251599147121535,1.62659876570335,1.48796313926891,1.77815126918243,9.77371480484245e-27,0.101918976545842,0.0834390309521078,0.120398922139575,4.47447239462116e-27
"MIMIC","native","aki1_48h","dr",1658,1180,FALSE,4690,0.353518123667377,0.251599147121535,1.88246077439464,1.71303990488616,2.06863748884469,1.78091917589936e-39,0.122746730827494,0.104807625879478,0.140685835775511,1.23160344250043e-40
"MIMIC","native","aki2_48h","psm",235,134,FALSE,4690,0.0501066098081023,0.0285714285714286,1.79349046012056,1.44482660636852,2.22629346411899,1.18063528668469e-07,0.0215351812366737,0.0136781120216185,0.029392250451729,7.96895920105392e-08
"MIMIC","native","aki2_48h","dr",235,134,FALSE,4690,0.0501066098081023,0.0285714285714286,1.96949147894281,1.58615316983561,2.44547421988908,8.40892007552755e-10,0.0239519820080519,0.0161545182788893,0.0317494457372145,1.80229370967209e-09
"MIMIC","native","aki1_7d","psm",1674,1214,FALSE,4202,0.398381722989053,0.288910042836744,1.6298224302935,1.48817501680331,1.7849521220923,6.27596375345577e-26,0.109471680152308,0.0892965787421724,0.129646781562444,3.00330332099631e-26
"MIMIC","native","aki1_7d","dr",1674,1214,FALSE,4202,0.398381722989053,0.288910042836744,1.76211860592454,1.60321899344524,1.93676721273918,7.09865158458778e-32,0.118912184984703,0.0993230482300091,0.138501321739396,2.20994834753687e-32
"MIMIC","native","aki2_7d","psm",347,202,FALSE,4202,0.0825797239409805,0.0480723465016659,1.78243503319515,1.49025338711576,2.13190231609559,2.49143842557612e-10,0.0345073774393148,0.0239657742312148,0.0450489806474148,1.4751109720759e-10
"MIMIC","native","aki2_7d","dr",347,202,FALSE,4202,0.0825797239409805,0.0480723465016659,1.92044000629004,1.60213770001993,2.30198054618739,1.69001399605365e-12,0.0371014011095362,0.0266879352587907,0.0475148669602817,3.10625088585446e-12
"MIMIC","daily_peak","aki1_48h","psm",1658,1180,FALSE,4690,0.353518123667377,0.251599147121535,1.62659876570335,1.48796313926891,1.77815126918243,9.77371480484245e-27,0.101918976545842,0.0834390309521078,0.120398922139575,4.47447239462116e-27
"MIMIC","daily_peak","aki1_48h","dr",1658,1180,FALSE,4690,0.353518123667377,0.251599147121535,1.88246077439464,1.71303990488616,2.06863748884469,1.78091917589936e-39,0.122746730827494,0.104807625879478,0.140685835775511,1.23160344250043e-40
"MIMIC","daily_peak","aki2_48h","psm",235,134,FALSE,4690,0.0501066098081023,0.0285714285714286,1.79349046012056,1.44482660636852,2.22629346411899,1.18063528668469e-07,0.0215351812366737,0.0136781120216185,0.029392250451729,7.96895920105392e-08
"MIMIC","daily_peak","aki2_48h","dr",235,134,FALSE,4690,0.0501066098081023,0.0285714285714286,1.96949147894281,1.58615316983561,2.44547421988908,8.40892007552755e-10,0.0239519820080519,0.0161545182788893,0.0317494457372145,1.80229370967209e-09
"MIMIC","daily_peak","aki1_7d","psm",1674,1214,FALSE,4202,0.398381722989053,0.288910042836744,1.6298224302935,1.48817501680331,1.7849521220923,6.27596375345577e-26,0.109471680152308,0.0892965787421724,0.129646781562444,3.00330332099631e-26
"MIMIC","daily_peak","aki1_7d","dr",1674,1214,FALSE,4202,0.398381722989053,0.288910042836744,1.76211860592454,1.60321899344524,1.93676721273918,7.09865158458778e-32,0.118912184984703,0.0993230482300091,0.138501321739396,2.20994834753687e-32
"MIMIC","daily_peak","aki2_7d","psm",347,202,FALSE,4202,0.0825797239409805,0.0480723465016659,1.78243503319515,1.49025338711576,2.13190231609559,2.49143842557612e-10,0.0345073774393148,0.0239657742312148,0.0450489806474148,1.4751109720759e-10
"MIMIC","daily_peak","aki2_7d","dr",347,202,FALSE,4202,0.0825797239409805,0.0480723465016659,1.92044000629004,1.60213770001993,2.30198054618739,1.69001399605365e-12,0.0371014011095362,0.0266879352587907,0.0475148669602817,3.10625088585446e-12
"MIMIC","both_members_ge3_cr","aki1_48h","psm",553,410,FALSE,1178,0.469439728353141,0.34804753820034,1.65738146341452,1.40416406273988,1.95626236859397,2.33238775306426e-09,0.121392190152801,0.0819772742509084,0.160807106054694,1.82448300634799e-09
"MIMIC","both_members_ge3_cr","aki1_48h","dr",553,410,FALSE,1178,0.469439728353141,0.34804753820034,1.96751858335473,1.64690191810753,2.3505524726661,8.83460239616074e-14,0.149260843593243,0.111159693696034,0.187361993490453,2.34872879100171e-14
"MIMIC","both_members_ge3_cr","aki2_48h","psm",91,69,FALSE,1178,0.0772495755517827,0.0585738539898132,1.34553284487118,0.973153930652923,1.86040314856709,0.0725932270364464,0.0186757215619694,-0.00163776089315636,0.0389892040170952,0.071677020597098
"MIMIC","both_members_ge3_cr","aki2_48h","dr",91,69,FALSE,1178,0.0772495755517827,0.0585738539898132,1.32914157774341,0.958123079720313,1.8438313104846,0.0884124544106153,0.0161795770962705,-0.00413854181423687,0.0364976960067778,0.118712029971571
"MIMIC","both_members_ge3_cr","aki1_7d","psm",1585,1164,FALSE,3908,0.405578300921187,0.297850562947799,1.60846340124619,1.46459311383195,1.76646639173351,2.74349934309785e-23,0.107727737973388,0.0866876850026252,0.128767790944152,1.47823154597453e-23
"MIMIC","both_members_ge3_cr","aki1_7d","dr",1585,1164,FALSE,3908,0.405578300921187,0.297850562947799,1.75854843014733,1.5949542947969,1.93892238245449,9.21695182552683e-30,0.119358314459104,0.0989848541526314,0.139731774765576,2.81798199670789e-30
"MIMIC","both_members_ge3_cr","aki2_7d","psm",335,195,FALSE,3908,0.0857215967246674,0.0498976458546571,1.78526267866315,1.48753475298361,2.14258041732129,4.77761708522701e-10,0.0358239508700102,0.0247029887174314,0.0469449130225891,2.87236676868672e-10
"MIMIC","both_members_ge3_cr","aki2_7d","dr",335,195,FALSE,3908,0.0857215967246674,0.0498976458546571,1.95634205682663,1.62640630493316,2.35320917762057,1.06996744402781e-12,0.0392541342460255,0.0282901132540129,0.0502181552380381,2.45094462523354e-12
