"db","sampling_scheme","outcome","arm","n_evaluable","n_aki_flags","n_isolated_blips","isolated_blip_fraction","aki_flag_sparse_lt20","isolated_blip_sparse_lt20","sparse_lt20"
"EICU","native","aki1_48h","treated",1887,454,61,0.134361233480176,FALSE,FALSE,FALSE
"EICU","native","aki1_48h","control",1887,422,65,0.154028436018957,FALSE,FALSE,FALSE
"EICU","native","aki2_48h","treated",1887,64,9,0.140625,FALSE,TRUE,TRUE
"EICU","native","aki2_48h","control",1887,53,7,0.132075471698113,FALSE,TRUE,TRUE
"EICU","native","aki1_7d","treated",1815,485,152,0.31340206185567,FALSE,FALSE,FALSE
"EICU","native","aki1_7d","control",1815,442,135,0.305429864253394,FALSE,FALSE,FALSE
"EICU","native","aki2_7d","treated",1815,104,26,0.25,FALSE,FALSE,FALSE
"EICU","native","aki2_7d","control",1815,88,19,0.215909090909091,FALSE,TRUE,TRUE
"EICU","closest_anchor","aki1_48h","treated",1887,430,61,0.141860465116279,FALSE,FALSE,FALSE
"EICU","closest_anchor","aki1_48h","control",1887,394,63,0.15989847715736,FALSE,FALSE,FALSE
"EICU","closest_anchor","aki2_48h","treated",1887,57,4,0.0701754385964912,FALSE,TRUE,TRUE
"EICU","closest_anchor","aki2_48h","control",1887,46,8,0.173913043478261,FALSE,TRUE,TRUE
"EICU","closest_anchor","aki1_7d","treated",1815,465,171,0.367741935483871,FALSE,FALSE,FALSE
"EICU","closest_anchor","aki1_7d","control",1815,417,154,0.369304556354916,FALSE,FALSE,FALSE
"EICU","closest_anchor","aki2_7d","treated",1815,93,26,0.279569892473118,FALSE,FALSE,FALSE
"EICU","closest_anchor","aki2_7d","control",1815,85,27,0.317647058823529,FALSE,FALSE,FALSE
"EICU","first_of_day","aki1_48h","treated",1887,421,52,0.123515439429929,FALSE,FALSE,FALSE
"EICU","first_of_day","aki1_48h","control",1887,393,50,0.127226463104326,FALSE,FALSE,FALSE
"EICU","first_of_day","aki2_48h","treated",1887,46,6,0.130434782608696,FALSE,TRUE,TRUE
"EICU","first_of_day","aki2_48h","control",1887,39,5,0.128205128205128,FALSE,TRUE,TRUE
"EICU","first_of_day","aki1_7d","treated",1815,464,186,0.400862068965517,FALSE,FALSE,FALSE
"EICU","first_of_day","aki1_7d","control",1815,421,173,0.410926365795724,FALSE,FALSE,FALSE
"EICU","first_of_day","aki2_7d","treated",1815,96,30,0.3125,FALSE,FALSE,FALSE
"EICU","first_of_day","aki2_7d","control",1815,81,24,0.296296296296296,FALSE,FALSE,FALSE
