"db","sampling_scheme","outcome","arm","n_evaluable","n_aki_flags","n_isolated_blips","isolated_blip_fraction","aki_flag_sparse_lt20","isolated_blip_sparse_lt20","sparse_lt20"
"IUH","native","aki1_48h","treated",1235,293,52,0.177474402730375,FALSE,FALSE,FALSE
"IUH","native","aki1_48h","control",1235,301,72,0.239202657807309,FALSE,FALSE,FALSE
"IUH","native","aki2_48h","treated",1235,46,4,0.0869565217391304,FALSE,TRUE,TRUE
"IUH","native","aki2_48h","control",1235,49,0,0,FALSE,TRUE,TRUE
"IUH","native","aki1_7d","treated",1069,288,93,0.322916666666667,FALSE,FALSE,FALSE
"IUH","native","aki1_7d","control",1069,295,125,0.423728813559322,FALSE,FALSE,FALSE
"IUH","native","aki2_7d","treated",1069,68,17,0.25,FALSE,TRUE,TRUE
"IUH","native","aki2_7d","control",1069,67,19,0.283582089552239,FALSE,TRUE,TRUE
"IUH","closest_anchor","aki1_48h","treated",1235,277,50,0.180505415162455,FALSE,FALSE,FALSE
"IUH","closest_anchor","aki1_48h","control",1235,285,77,0.270175438596491,FALSE,FALSE,FALSE
"IUH","closest_anchor","aki2_48h","treated",1235,41,2,0.0487804878048781,FALSE,TRUE,TRUE
"IUH","closest_anchor","aki2_48h","control",1235,49,3,0.0612244897959184,FALSE,TRUE,TRUE
"IUH","closest_anchor","aki1_7d","treated",1069,278,114,0.410071942446043,FALSE,FALSE,FALSE
"IUH","closest_anchor","aki1_7d","control",1069,281,151,0.537366548042705,FALSE,FALSE,FALSE
"IUH","closest_anchor","aki2_7d","treated",1069,61,21,0.344262295081967,FALSE,FALSE,FALSE
"IUH","closest_anchor","aki2_7d","control",1069,67,36,0.537313432835821,FALSE,FALSE,FALSE
"IUH","first_of_day","aki1_48h","treated",1235,268,45,0.167910447761194,FALSE,FALSE,FALSE
"IUH","first_of_day","aki1_48h","control",1235,282,60,0.212765957446809,FALSE,FALSE,FALSE
"IUH","first_of_day","aki2_48h","treated",1235,29,1,0.0344827586206897,FALSE,TRUE,TRUE
"IUH","first_of_day","aki2_48h","control",1235,38,0,0,FALSE,TRUE,TRUE
"IUH","first_of_day","aki1_7d","treated",1069,273,115,0.421245421245421,FALSE,FALSE,FALSE
"IUH","first_of_day","aki1_7d","control",1069,282,152,0.539007092198582,FALSE,FALSE,FALSE
"IUH","first_of_day","aki2_7d","treated",1069,58,19,0.327586206896552,FALSE,TRUE,TRUE
"IUH","first_of_day","aki2_7d","control",1069,59,19,0.322033898305085,FALSE,TRUE,TRUE
