"db","sampling_scheme","outcome","arm","n_evaluable","n_aki_flags","n_isolated_blips","isolated_blip_fraction","aki_flag_sparse_lt20","isolated_blip_sparse_lt20","sparse_lt20"
"MIMIC","native","aki1_48h","treated",4690,1658,235,0.141737032569361,FALSE,FALSE,FALSE
"MIMIC","native","aki1_48h","control",4690,1180,135,0.114406779661017,FALSE,FALSE,FALSE
"MIMIC","native","aki2_48h","treated",4690,235,28,0.119148936170213,FALSE,FALSE,FALSE
"MIMIC","native","aki2_48h","control",4690,134,15,0.111940298507463,FALSE,TRUE,TRUE
"MIMIC","native","aki1_7d","treated",4202,1674,486,0.290322580645161,FALSE,FALSE,FALSE
"MIMIC","native","aki1_7d","control",4202,1214,426,0.350906095551895,FALSE,FALSE,FALSE
"MIMIC","native","aki2_7d","treated",4202,347,71,0.204610951008646,FALSE,FALSE,FALSE
"MIMIC","native","aki2_7d","control",4202,202,53,0.262376237623762,FALSE,FALSE,FALSE
"MIMIC","closest_anchor","aki1_48h","treated",4690,1543,203,0.131561892417369,FALSE,FALSE,FALSE
"MIMIC","closest_anchor","aki1_48h","control",4690,1110,116,0.104504504504505,FALSE,FALSE,FALSE
"MIMIC","closest_anchor","aki2_48h","treated",4690,214,12,0.0560747663551402,FALSE,TRUE,TRUE
"MIMIC","closest_anchor","aki2_48h","control",4690,118,15,0.127118644067797,FALSE,TRUE,TRUE
"MIMIC","closest_anchor","aki1_7d","treated",4202,1571,559,0.35582431572247,FALSE,FALSE,FALSE
"MIMIC","closest_anchor","aki1_7d","control",4202,1149,494,0.42993907745866,FALSE,FALSE,FALSE
"MIMIC","closest_anchor","aki2_7d","treated",4202,317,81,0.255520504731861,FALSE,FALSE,FALSE
"MIMIC","closest_anchor","aki2_7d","control",4202,178,58,0.325842696629214,FALSE,FALSE,FALSE
"MIMIC","first_of_day","aki1_48h","treated",4690,1499,120,0.0800533689126084,FALSE,FALSE,FALSE
"MIMIC","first_of_day","aki1_48h","control",4690,1042,77,0.0738963531669866,FALSE,FALSE,FALSE
"MIMIC","first_of_day","aki2_48h","treated",4690,164,3,0.0182926829268293,FALSE,TRUE,TRUE
"MIMIC","first_of_day","aki2_48h","control",4690,106,7,0.0660377358490566,FALSE,TRUE,TRUE
"MIMIC","first_of_day","aki1_7d","treated",4202,1545,627,0.405825242718447,FALSE,FALSE,FALSE
"MIMIC","first_of_day","aki1_7d","control",4202,1126,518,0.460035523978686,FALSE,FALSE,FALSE
"MIMIC","first_of_day","aki2_7d","treated",4202,313,95,0.303514376996805,FALSE,FALSE,FALSE
"MIMIC","first_of_day","aki2_7d","control",4202,180,59,0.327777777777778,FALSE,FALSE,FALSE
