"db","cut","variable_code","variable","raw_smd","smd","matched","treated_eligible","match_rate","max_smd","n_viol","mice_m","mice_logged_events"
"MIMIC",3.5,"age","age",0.15302223721552,0.0204519207725043,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"is_female","sex",0.0185848873755447,0.010604746272367,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"bmi","BMI",0.0334210614700415,0.0154736376675281,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"surg_cabg","CABG surgery",0.131430431179114,0.0161280126526416,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"surg_valve","valve surgery",0.215937695425509,0.0127271210535959,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"surg_combined","combined surgery",0.254767703020213,0.018016138133349,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"heart_failure","heart failure",0.0800207800873662,0.10240187419665,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"hypertension","hypertension",0.0331161777655307,0.0350977666734577,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"diabetes","diabetes",0.0280899738879813,0.0443627532647165,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"copd","COPD",0.0249288397835532,0.0141632568853244,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"pvd","peripheral vascular disease",0.00860273898575952,0.0159724928202956,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"stroke","stroke",0.0235207210840019,0.0807116686074901,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"liver_disease","liver disease",0.0788906085705604,0.0864993252314188,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"egfr","baseline (at ICU T0): eGFR",0.135016935028696,0.229134689838469,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"last_lactate","baseline (at ICU T0): lactate",0.117654573822334,0.0182049731918746,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"last_lactate_missing","baseline (at ICU T0): lactate missing",0.99795945316218,0.0415811532184765,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"last_heartrate","baseline (at ICU T0): heart rate",0.250325012568294,0.0795512439810277,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"last_hemoglobin","baseline (at ICU T0): hemoglobin",0.673295845233769,0.138709563640036,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"alb_cat","baseline (at ICU T0): serum albumin category",0.225492786288061,0.270902822581437,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"vaso_at_t0","baseline (at ICU T0): vasopressor status",0.702194323495083,0.0134574884593614,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"map_before_t0","baseline (at ICU T0): MAP",0.56783841918362,0.00841549521346703,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"vent_at_t0","baseline (at ICU T0): ventilation status",0.336925939287159,0.039111481279614,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3.5,"surg_aortic","aortic surgery",0.113390116912995,0.0332183108784204,5428,5428,1,0.270902822581437,4,20,200
"MIMIC",3,"age","age",0.15302223721552,0.0597953367331504,5427,5428,0.999815770081061,0.284896532830293,4,20,200
