"db","analysis","cut","stratum","outcome","method","events_trt","events_ctl","sparse_lt20","match_rate","max_smd","n_viol","adjustment_vars","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","threshold_sweep",3.5,"Overall","aki1_48h","psm",454,422,FALSE,0.983846542150429,0.25057096373871,3,"",1887,0.240593534711182,0.223635400105988,1.09985348736577,0.94545879073367,1.27946104634762,0.217474933165104,0.0169581346051935,-0.00998275707140077,0.0438990262817878,0.217378218771203
"EICU","threshold_sweep",3.5,"Overall","aki1_48h","dr",454,422,FALSE,0.983846542150429,0.25057096373871,3,"egfr;last_lactate;alb_cat",1887,0.240593534711182,0.223635400105988,1.2386640589769,1.05712116978071,1.45138390457113,0.00812121901189935,0.0338616543132498,0.00723895577594593,0.0604843528505536,0.0127115602007338
"EICU","threshold_sweep",3.5,"Overall","aki2_48h","psm",64,53,FALSE,0.983846542150429,0.25057096373871,3,"",1887,0.0339162692103869,0.0280869104398516,1.21483352132342,0.839260546107362,1.75847713963937,0.302384109060795,0.00582935877053527,-0.00523158852521758,0.0168903060662881,0.301687695555239
"EICU","threshold_sweep",3.5,"Overall","aki2_48h","dr",64,53,FALSE,0.983846542150429,0.25057096373871,3,"egfr;last_lactate;alb_cat",1887,0.0339162692103869,0.0280869104398516,1.18914697523541,0.821143830326735,1.72207410746647,0.35916511986075,0.00512968735055487,-0.00590813985039162,0.0161675145515014,0.362414428417793
"EICU","threshold_sweep",3.5,"Overall","aki1_7d","psm",485,442,FALSE,0.983846542150429,0.25057096373871,3,"",1815,0.267217630853994,0.243526170798898,1.13276120164668,0.975592647644244,1.31524970289028,0.101890808578559,0.0236914600550965,-0.00467782529196185,0.0520607454021548,0.10175593629665
"EICU","threshold_sweep",3.5,"Overall","aki1_7d","dr",485,442,FALSE,0.983846542150429,0.25057096373871,3,"egfr;last_lactate;alb_cat",1815,0.267217630853994,0.243526170798898,1.24156865964193,1.06370152874456,1.44917788961385,0.00609149980990763,0.0380006752370483,0.00984169990646534,0.0661596505676312,0.00820363083552162
"EICU","threshold_sweep",3.5,"Overall","aki2_7d","psm",104,88,FALSE,0.983846542150429,0.25057096373871,3,"",1815,0.0573002754820937,0.0484848484848485,1.19286965600923,0.891033221590498,1.59695282033102,0.236067893235363,0.00881542699724518,-0.00574805161768728,0.0233789056121776,0.235538645982768
"EICU","threshold_sweep",3.5,"Overall","aki2_7d","dr",104,88,FALSE,0.983846542150429,0.25057096373871,3,"egfr;last_lactate;alb_cat",1815,0.0573002754820937,0.0484848484848485,1.22565873326918,0.915149832962768,1.64152281553235,0.172211560228685,0.0101541422019013,-0.00443451088752054,0.0247427952913232,0.172583341097057
"EICU","threshold_sweep",3,"Overall","aki1_48h","psm",456,367,FALSE,0.986875315497224,0.202782287514982,2,"",1896,0.240506329113924,0.193565400843882,1.31930063578903,1.12965016441208,1.54079043444321,0.000465919297305626,0.0469409282700423,0.0207350882912806,0.0731467682488039,0.000451916816510754
"EICU","threshold_sweep",3,"Overall","aki1_48h","dr",456,367,FALSE,0.986875315497224,0.202782287514982,2,"egfr;last_lactate",1896,0.240506329113924,0.193565400843882,1.44474796292933,1.22857648392881,1.6989554201083,8.61121622056405e-06,0.0579979068077896,0.0320346313346486,0.0839611822809307,1.22819684440758e-05
"EICU","threshold_sweep",3,"Overall","aki2_48h","psm",67,56,FALSE,0.986875315497224,0.202782287514982,2,"",1896,0.035337552742616,0.029535864978903,1.20362415057716,0.839048145845505,1.72661259431391,0.31405373937521,0.00580168776371304,-0.00547720104362518,0.0170805765710513,0.313425699210649
"EICU","threshold_sweep",3,"Overall","aki2_48h","dr",67,56,FALSE,0.986875315497224,0.202782287514982,2,"egfr;last_lactate",1896,0.035337552742616,0.029535864978903,1.21489301799391,0.849982677707457,1.73646485261473,0.285468498759251,0.00595246146497273,-0.00520370132439746,0.0171086242543429,0.295732135879879
"EICU","threshold_sweep",3,"Overall","aki1_7d","psm",486,393,FALSE,0.986875315497224,0.202782287514982,2,"",1816,0.267621145374449,0.216409691629956,1.32311312632965,1.13588032606448,1.54120843974053,0.000322337612994871,0.0512114537444934,0.0233946674310467,0.0790282400579401,0.000312230924681024
"EICU","threshold_sweep",3,"Overall","aki1_7d","dr",486,393,FALSE,0.986875315497224,0.202782287514982,2,"egfr;last_lactate",1816,0.267621145374449,0.216409691629956,1.41004713823277,1.2044274782017,1.65077015264298,1.9288131956637e-05,0.0600540991597644,0.0323174497656072,0.0877907485539216,2.25362744308929e-05
"EICU","threshold_sweep",3,"Overall","aki2_7d","psm",110,80,FALSE,0.986875315497224,0.202782287514982,2,"",1816,0.0605726872246696,0.0440528634361234,1.39917931038683,1.04097251443773,1.88064787058475,0.0260050659246168,0.0165198237885463,0.00204310605281006,0.0309965415242825,0.0253719676432115
