"db","cut","population","n","albumin_measured_n","albumin_measured_prevalence","low_n","low_prevalence_all","low_prevalence_measured"
"EICU",3.5,"overall",19076,7884,0.413294191654435,3972,0.208219752568673,0.503805175038052
"EICU",3.5,"treated_source",2298,1548,0.673629242819843,914,0.397737162750218,0.590439276485788
"EICU",3.5,"control_source",16778,6336,0.377637382286327,3058,0.182262486589582,0.482638888888889
"EICU",3.5,"treated_eligible",1981,1279,0.645633518425038,702,0.354366481574962,0.54886630179828
"EICU",3.5,"matched_treated",1949,1250,0.641354540790149,682,0.349923037455105,0.5456
"EICU",3.5,"matched_control",1949,1299,0.666495638789123,790,0.405336069779374,0.608160123171671
"EICU",3,"overall",19076,7884,0.413294191654435,2017,0.105734954917173,0.255834601725013
"EICU",3,"treated_source",2298,1548,0.673629242819843,553,0.240644038294169,0.357235142118863
"EICU",3,"control_source",16778,6336,0.377637382286327,1464,0.0872571224222196,0.231060606060606
"EICU",3,"treated_eligible",1981,1279,0.645633518425038,396,0.19989904088844,0.309616888193901
"EICU",3,"matched_treated",1955,1256,0.642455242966752,388,0.19846547314578,0.308917197452229
"EICU",3,"matched_control",1955,1280,0.654731457800512,464,0.237340153452685,0.3625
"EICU",2.5,"overall",19076,7884,0.413294191654435,866,0.0453973579366744,0.109842719431761
"EICU",2.5,"treated_source",2298,1548,0.673629242819843,319,0.13881636205396,0.206072351421189
"EICU",2.5,"control_source",16778,6336,0.377637382286327,547,0.0326022171891763,0.0863320707070707
"EICU",2.5,"treated_eligible",1981,1279,0.645633518425038,218,0.110045431600202,0.1704456606724
"EICU",2.5,"matched_treated",1947,1248,0.640986132511556,204,0.104776579352851,0.163461538461538
"EICU",2.5,"matched_control",1947,1245,0.63944530046225,251,0.128916281458654,0.201606425702811
