"db","population","outcome","specification","method","n","events","sparse_lt20","scale","estimate","ci_lo","ci_hi","p","imputations"
"MIMIC","within_treated","aki1_48h","per_250ml","covariate_adjusted_mice20_hc1",4690,1658,FALSE,"OR",1.14542712415973,1.10328663763849,1.18917718388132,1.25057616087942e-12,20
"MIMIC","within_treated","aki1_48h","per_250ml","covariate_adjusted_mice20_hc1",4690,1658,FALSE,"RD",0.0279054309874119,0.0203230225598558,0.0354878394149679,5.45876815167328e-13,20
"MIMIC","within_treated","aki1_48h","per_iqr","covariate_adjusted_mice20_hc1",4690,1658,FALSE,"OR",1.31200328316977,1.2172413956633,1.41414235597062,1.25057616087943e-12,20
"MIMIC","within_treated","aki1_48h","per_iqr","covariate_adjusted_mice20_hc1",4690,1658,FALSE,"RD",0.0558108598458083,0.0406460435691881,0.0709756761224285,5.4587681516735e-13,20
"MIMIC","within_treated","aki1_48h","tertile_T2_vs_T1","covariate_adjusted_mice20_hc1",4690,1658,FALSE,"OR",1.21920579313868,1.04785756381685,1.41857330361623,0.0103181761955791,20
"MIMIC","within_treated","aki1_48h","tertile_T2_vs_T1","covariate_adjusted_mice20_hc1",4690,1658,FALSE,"RD",0.0387854734272249,0.00924381292783597,0.0683271339266138,0.010073411523345,20
"MIMIC","within_treated","aki1_48h","tertile_T3_vs_T1","covariate_adjusted_mice20_hc1",4690,1658,FALSE,"OR",1.83543481949764,1.5318896842337,2.19912765997215,4.5761085139706e-11,20
"MIMIC","within_treated","aki1_48h","tertile_T3_vs_T1","covariate_adjusted_mice20_hc1",4690,1658,FALSE,"RD",0.125258480713913,0.0878086927007493,0.162708268727077,5.54107438948858e-11,20
"MIMIC","within_treated","aki2_48h","per_250ml","covariate_adjusted_mice20_hc1",4690,235,FALSE,"OR",1.34081063041864,1.25634758219721,1.43095204871532,1.00607325735755e-18,20
"MIMIC","within_treated","aki2_48h","per_250ml","covariate_adjusted_mice20_hc1",4690,235,FALSE,"RD",0.0183398031552466,0.0132479801487547,0.0234316261617386,1.67034383781967e-12,20
"MIMIC","within_treated","aki2_48h","per_iqr","covariate_adjusted_mice20_hc1",4690,235,FALSE,"OR",1.79777310641836,1.57840921981118,2.04762370974223,1.00607325735757e-18,20
"MIMIC","within_treated","aki2_48h","per_iqr","covariate_adjusted_mice20_hc1",4690,235,FALSE,"RD",0.0366796049112774,0.0264959592867687,0.046863250535786,1.6703438378196e-12,20
"MIMIC","within_treated","aki2_48h","tertile_T2_vs_T1","covariate_adjusted_mice20_hc1",4690,235,FALSE,"OR",1.68120347594067,1.16096480340505,2.43456573293624,0.00595812677271227,20
"MIMIC","within_treated","aki2_48h","tertile_T2_vs_T1","covariate_adjusted_mice20_hc1",4690,235,FALSE,"RD",0.0165435847661301,0.00360976227466623,0.029477407257594,0.0121751838795579,20
"MIMIC","within_treated","aki2_48h","tertile_T3_vs_T1","covariate_adjusted_mice20_hc1",4690,235,FALSE,"OR",4.05276471837498,2.78544417692919,5.89669037295613,2.58628767878512e-13,20
"MIMIC","within_treated","aki2_48h","tertile_T3_vs_T1","covariate_adjusted_mice20_hc1",4690,235,FALSE,"RD",0.0763765570499116,0.0545345965535748,0.0982185175462483,7.19683639827368e-12,20
"MIMIC","within_treated","aki1_7d","per_250ml","covariate_adjusted_mice20_hc1",4202,1674,FALSE,"OR",1.13930747881122,1.09520150241296,1.18518969195656,9.51799850252512e-11,20
"MIMIC","within_treated","aki1_7d","per_250ml","covariate_adjusted_mice20_hc1",4202,1674,FALSE,"RD",0.0276943959324152,0.0194902903205098,0.0358985015443207,3.68242284092995e-11,20
"MIMIC","within_treated","aki1_7d","per_iqr","covariate_adjusted_mice20_hc1",4202,1674,FALSE,"OR",1.29802151835947,1.19946632256565,1.40467458771191,9.51799850252523e-11,20
"MIMIC","within_treated","aki1_7d","per_iqr","covariate_adjusted_mice20_hc1",4202,1674,FALSE,"RD",0.0553887897519157,0.0389805791540284,0.071797000349803,3.6824228409299e-11,20
"MIMIC","within_treated","aki1_7d","tertile_T2_vs_T1","covariate_adjusted_mice20_hc1",4202,1674,FALSE,"OR",1.26626269634689,1.08462161406118,1.47832312704516,0.00280578112446519,20
"MIMIC","within_treated","aki1_7d","tertile_T2_vs_T1","covariate_adjusted_mice20_hc1",4202,1674,FALSE,"RD",0.048889982019611,0.0168719595257482,0.0809080045134739,0.0027640744134671,20
"MIMIC","within_treated","aki1_7d","tertile_T3_vs_T1","covariate_adjusted_mice20_hc1",4202,1674,FALSE,"OR",1.84356612848223,1.52585531171922,2.22743011344733,2.31780430282229e-10,20
"MIMIC","within_treated","aki1_7d","tertile_T3_vs_T1","covariate_adjusted_mice20_hc1",4202,1674,FALSE,"RD",0.130846393869374,0.0902904763488611,0.171402311389886,2.55557793973321e-10,20
"MIMIC","within_treated","aki2_7d","per_250ml","covariate_adjusted_mice20_hc1",4202,347,FALSE,"OR",1.25825047805952,1.18570128108443,1.33523872394658,3.41288651571989e-14,20
"MIMIC","within_treated","aki2_7d","per_250ml","covariate_adjusted_mice20_hc1",4202,347,FALSE,"RD",0.0208507371411197,0.0146998533385428,0.0270016209436965,3.04954983520185e-11,20
"MIMIC","within_treated","aki2_7d","per_iqr","covariate_adjusted_mice20_hc1",4202,347,FALSE,"OR",1.58319423778928,1.40588750969507,1.78286241060126,3.41288651571984e-14,20
"MIMIC","within_treated","aki2_7d","per_iqr","covariate_adjusted_mice20_hc1",4202,347,FALSE,"RD",0.0417014726914543,0.0293997055555758,0.0540032398273329,3.04954983520185e-11,20
"MIMIC","within_treated","aki2_7d","tertile_T2_vs_T1","covariate_adjusted_mice20_hc1",4202,347,FALSE,"OR",1.55070231553936,1.16212351431327,2.06921006399232,0.00287402117506237,20
"MIMIC","within_treated","aki2_7d","tertile_T2_vs_T1","covariate_adjusted_mice20_hc1",4202,347,FALSE,"RD",0.0252930125281714,0.00767934964928361,0.0429066754070592,0.00488475655711564,20
"MIMIC","within_treated","aki2_7d","tertile_T3_vs_T1","covariate_adjusted_mice20_hc1",4202,347,FALSE,"OR",2.75815821911471,2.02537664069884,3.75606028469112,1.19923771908697e-10,20
"MIMIC","within_treated","aki2_7d","tertile_T3_vs_T1","covariate_adjusted_mice20_hc1",4202,347,FALSE,"RD",0.0831363944390782,0.0559584963363295,0.110314292541827,2.02757195584482e-09,20
