"db","outcome","volume_tertile","n","events","rate","sparse_lt20"
"MIMIC","aki1_48h","T1",2115,650,0.307328605200946,FALSE
"MIMIC","aki1_48h","T2",1641,581,0.35405240706886,FALSE
"MIMIC","aki1_48h","T3",934,427,0.457173447537473,FALSE
"MIMIC","aki2_48h","T1",2115,57,0.0269503546099291,FALSE
"MIMIC","aki2_48h","T2",1641,75,0.0457038391224863,FALSE
"MIMIC","aki2_48h","T3",934,103,0.110278372591006,FALSE
"MIMIC","aki1_7d","T1",1914,658,0.343782654127482,FALSE
"MIMIC","aki1_7d","T2",1484,604,0.407008086253369,FALSE
"MIMIC","aki1_7d","T3",804,412,0.512437810945274,FALSE
"MIMIC","aki2_7d","T1",1914,99,0.0517241379310345,FALSE
"MIMIC","aki2_7d","T2",1484,125,0.0842318059299191,FALSE
"MIMIC","aki2_7d","T3",804,123,0.152985074626866,FALSE
